English;German
the e-book, e-books;das E-Book, -s
ear;Ohr
the ear;das Ohr, -en
earlier, in the past;früher
early;früh
to earn;verdienen
earring;der Ohrring, -e
east;Osten
the east (singular);der Osten, Sg
easy;leicht
to eat little;wenig essen
to eat, eats, has eaten;essen, isst, hat gegessen
to eat, have eaten;essen, haben gegessen
to eat, I have eaten;essen, ich habe gegessen
to eat, to nourish oneself (focus on diet);sich ernähren
educator, childcare worker;der/die Erzieher/in, -/-nen
the egg, eggs;das Ei, -er
eggs;Eier
elderly care nurse;Altenpfleger
the elderly care nurse;die Altenpflegerin
electrician;Elektriker
elegant;elegant
elevator;Aufzug
the elevator;der Aufzug, -e
elevator, lift;Aufzug
email address;E-Mail-Adresse
the email address, email addresses;die E-Mail-Adresse, -n
the email program, email programs;das E-Mail-Programm, -e
the email, emails;die E-Mail, -s
the emergency;der Notfall, -e
the emergency call;der Notruf, -e
emergency call center;die Notrufzentrale, -n
the emergency doctor;der Notarzt, -e
emergency service;Notdienst
emergency telephone (on motorway);die Notrufsäule, -n
employed, working;berufstätig
employed, working (in a profession);berufstätig
employee;Angestellte
the employee (male/female);der/die Angestellte, -n/-n
employee, staff member;der/die Mitarbeiter/in, -/-nen
employer;Arbeitgeber
the employer (male/female);der/die Arbeitgeber/in, -/-nen
employment agency, job center;Arbeitsagentur
employment contract;der Arbeitsvertrag, -¨e
encounter, meeting;die Begegnung, -en
to end;enden
end-of-season sale;Schlussverkauf
to end/quit;beenden
engineer;Ingenieur
the engineer;der Ingenieur
the engineer (male/female);der/die Ingenieur/in
English;Englisch
English course;Englischkurs
Enjoy your meal;Guten Appetit
enough;genug
to enter/register, enters, has entered;eintragen, trägt ein, hat eingetragen
entrance;Eingang
the entrance;der Eingang -e
entrance, approach (e.g., of a train);Einfahrt
the eraser;der Radiergummi
escalator;Rolltreppe
the escalator;die Rolltreppe, -n
especially;besonders
EU citizen;EU-Bürger
EU state;EU-Staat
the euro, euros;der Euro, -s
evening;Abend
evening course;Abendkurs
evening dress;Abendkleid
event;die Veranstaltung, -en
every day;jeden Tag
everything;alles
everything different;alles anders
everything was different;war alles anders
everywhere;überall
exact/exactly;genau
exam, test;die Prüfung, -en
to examine/investigate;untersuchen
example (for example);Beispiel (zum Beispiel)
exchange;der Austausch, Sg.
to exchange rings;Ringe tauschen
exciting/thrilling;spannend
excursion;Ausflug
excursion destination, day-trip destination;das Ausflugsziel, -e
the excursion, excursions;der Ausflug, -e
Excuse me;Entschuldigung
Excuse me (likely typo);Entschyldigung
Excuse me!/Sorry!;Entschuldigung!
to excuse/apologize;entschuldigen
the exercise/practice, exercises;die Übung, -en
exhausted;erschöpft
exhausting;anstrengend
exit;Ausgang
the exit;der Ausgang -e
expensive;teuer
experience;Erlebnis
to experience;erleben
experience, event;das Erlebnis, -se
the expert/connoisseur (male/female);der/die Kenner/in, -/-nen
to explain;erklären
to explain again;noch einmal erklären
to extend a visa;Visum verlängern
to extend, to renew;verlängern
the eye;das Auge, -n
the eyelashes and the eye;die Wimpern und das Auge
