German;English
konnte;could (I/he/she/it – simple past)
Ich konnte nicht schlafen.;I could not sleep.
konnten;could (wir/sie – simple past)
Wir konnten uns nicht treffen.;We could not meet.
konntest;could (du – simple past)
Du konntest gut singen.;You could sing well.
konntet;could (ihr – simple past)
Ihr konntet besser rechnen.;You could calculate better.
durfte;was allowed to (I/he/she/it – simple past)
Er durfte nicht kommen.;He was not allowed to come.
durften;were allowed to (wir/sie – simple past)
Wir durften draußen spielen.;We were allowed to play outside.
durftest;were allowed to (du – simple past)
Du durftest früher gehen.;You were allowed to leave earlier.
durftet;were allowed to (ihr – simple past)
Ihr durftet bleiben.;You were allowed to stay.
mochte;liked (I/he/she/it – simple past)
Ich mochte den Film.;I liked the movie.
mochten;liked (wir/sie – simple past)
Sie mochten das Essen.;They liked the food.
mochtest;liked (du – simple past)
Du mochtest die Schule nicht.;You did not like school.
mochtet;liked (ihr – simple past)
Ihr mochtet den Lehrer.;You liked the teacher.
musste;had to (I/he/she/it – simple past)
Er musste gehen.;He had to go.
mussten;had to (wir/sie – simple past)
Wir mussten früh aufstehen.;We had to get up early.
musstest;had to (du – simple past)
Du musstest warten.;You had to wait.
musstet;had to (ihr – simple past)
Ihr musstet pünktlich sein.;You had to be punctual.
sollte;should (I/he/she/it – simple past)
Sie sollte mehr lernen.;She should study more.
sollten;should (wir/sie – simple past)
Wir sollten früher kommen.;We should come earlier.
solltest;should (du – simple past)
Du solltest zum Arzt gehen.;You should go to the doctor.
solltet;should (ihr – simple past)
Ihr solltet leiser sein.;You should be quieter.
wollte;wanted to (I/he/she/it – simple past)
Ich wollte helfen.;I wanted to help.
wollten;wanted to (wir/sie – simple past)
Wir wollten gewinnen.;We wanted to win.
wolltest;wanted to (du – simple past)
Du wolltest reisen.;You wanted to travel.
wolltet;wanted to (ihr – simple past)
Ihr wolltet tanzen.;You wanted to dance.
