German;English
ein Konto;an account
Geld;money
die Geheimnummer;the PIN, secret number
eine Versicherung;an insurance policy
die Quittung;the receipt
einen Schaden;a damage, loss
eine Überweisung;a transfer
abschließen;to conclude, to take out (e.g., insurance)
überweisen;to transfer (money)
machen;to make, to do
bauen;to build
abheben;to withdraw (money)
bekommen;to get, receive
verkaufen;to sell
reklamieren;to complain, to make a claim
zeigen;to show
wechseln;to change, exchange
eröffnen;to open (an account)


