German,English
EC-Karte.,debit card.
Ecke.,corner.
eigen.,own/particular.
Eigentumswohnung.,condominium/owned apartment.
Einbauküche.,fitted kitchen.
einfach.,simple/easy.
Einfamilienhaus.,single-family house.
Eingang.,entrance.
einige.,some/several.
Einkauf.,shopping/purchase.
einlkaufen.,(likely typo) to shop.
Einkaufszettel.,shopping list.
einlladen.,(likely typo) to invite.
Einladung.,invitation.
einmal.,once/one time.
einischlafen.,(likely typo) to fall asleep.
einitragen.,(likely typo) to enter/register.
Einwohner.,inhabitant/resident.
einzigartig.,unique.
Einzug.,move-in.
Eis.,ice/ice cream.
elegant.,elegant.
Elektriker.,electrician.
Eltern.,parents.
E-Mail-Adresse.,email address.
Empfänger.,recipient.
enden.,to end.
Endstation.,terminal/end station.
Englisch.,English.
Englischkurs.,English course.
Enkel.,grandson.
Enkelkind.,grandchild.
entschuldigen.,to excuse/apologize.
Entschuldigung!,Excuse me!/Sorry!
Entschuldigung.,apology.
Erbse.,pea.
Erdgeschoss.,ground floor.
Erholung.,recovery/recreation.
erkältet.,having a cold.
Erkältung.,cold (illness).
erklären.,to explain.
Erlebnis.,experience.
erst.,first/only.
Essen.,food/meal.
essen.,to eat.
Essenszeit.,meal time.
etwas.,something/somewhat.
EU-Bürger.,EU citizen.
Euro.,euro.
EU-Staat.,EU state.
