German;English
Guten Appetit;Enjoy your meal
der Apfel, -;the apple, apples
die Banane, -n;the banana, bananas
das Brot, -e;the bread, breads
die Butter, Sg;(likely typo "Butten") the butter
das Hähnchen, -;the chicken, chickens
die Kartoffel, -n;the potato, potatoes
der Käse, Sg;(likely typo "die Käse") the cheese
die Milch, Sg;the milk
die Nudeln, Pl;the noodles/pasta
der Reis, Sg;the rice
der Salat, -e;the salad, salads
der Tee, Sg;the tea
der Fisch, -e;the fish, fish
die Tomate, -n;the tomato, tomatoes
das Wasser, Sg;the water
der Wein, -e;the wine, wines
die Wurst, -e;the sausage, sausages
essen;to eat
trinken;to drink
täglich;daily
oft;often
manchmal;sometimes
selten;rare/seldom
nie;never
(A) Der Einkaufszettel;The shopping list
das Ei, -er;the egg, eggs
der Zucker, Sg;(likely typo "Zucken") the sugar
die Orange, -n;the orange, oranges
die Spaghetti, Pl;the spaghetti
das Brötchen, -;(likely typo "Brotchen") the roll/bun, rolls
das Getränk, -e;the drink, drinks
das Bier, -e;the beer, beers
der Apfelsaft, -e;the apple juice, apple juices
bitte;please
doch;however/yes (contradictory)
vergessen;to forget
holen;to get/fetch
warten;to wait
der Hunger, Sg;the hunger
Ich habe Hunger;I'm hungry
der Durst, Sg;the thirst
Ich habe Durst;I'm thirsty
probieren;to try/taste
die Packung, -en;the package/pack, packages
die Dose, -n;the can/tin, cans
das Glas, -er;the glass, glasses
der Becher, -;the cup/beaker, cups
die Tüte, -n;the bag, bags
der Kasten, -;the box/crate, boxes
das Stück, Sg;the piece
die Tafel Schokolade;the bar of chocolate
die Scheibe, -n;the slice, slices
das Gramm, Sg;the gram
das Kilo/Kilogramm, Sg;the kilo/kilogram
das Pfund, Sg;the pound
der Liter, Sg;the liter
(B) Einkaufen;Shopping
das Obst, Sg;the fruit
das Gemüse, Sg;the vegetables
der Kunde, -n;the customer (male), customers
die Kundin, -nen;the customer (female), customers
der Preis, -e;the price, prices
der Markt, -e;the market, markets
die Metzgerei, -en;the butcher shop, butcher shops
die Bäckerei, -en;(likely typo "Baäkerei") the bakery, bakeries
Ich hätte gern ...;I would like to have ...
Haben Sie noch einen Wunsch?;Do you have another wish? (anything else?)
passend;suitable/fitting
bekommen;to get/receive
zurück;back
möchten;would like to
(C) Das mag Ich;I like that
mögen;to like
(D) Essen in Deutschland;Food in Germany
das Frühstück;the breakfast
das Mittagessen;the lunch
das Abendessen;the dinner
frühstücken;to have breakfast
