English;German
teamwork;die Teamarbeit, Sg.
technical service;der technische Service
technology, technical department;die Technik, Sg.
telephone call;der Anruf, -e
Television and radio;(C) Fernsehen und Radio
temporary employment agency;die Zeitarbeitsfirma, -firmen
temporary help, assistant;die Aushilfe, -n
tent;das Zelt, -e
that (conjunction);dass
That comes to 20 euros.;Das macht 20€.
the address book, address books;das Adressbuch, -er
the advertisement/commercial, advertisements;die Werbung, -en
the app, apps;die App, -S
the architect (male/female);der/die Architekt/in,-en/-nen
the attachment,;der Anhang,
the average (singular);der Durchschnitt, Sg.
the beginning/start, beginnings;der Anfang, -e
the club/association, clubs;der Verein, -e
the crime novel/detective story, detective stories;der Krimi, -s
the day before yesterday;vorgestern
the department head/manager (male/female);der/die Abteilungsleiter/in,-/-nen
the documentary, documentaries;der Dokumentarfilm, -e
the e-book, e-books;das E-Book, -s
the email program, email programs;das E-Mail-Programm, -e
the email, emails;die E-Mail, -s
the exercise/practice, exercises;die Übung, -en
the feature film, feature films;der Spielfilm, -e
the file, files;die Datei, -en
the headphone(s), headphones;der Kopfhörer, -
the help/assistance, helps;die Hilfe, -n
the high school diploma/A-levels (singular);das Abitur, Sg.
the immigrant (male/female);der/die Zuwanderer/in,-/-nen
the inbox, inboxes;der Posteingang, -e
the information, pieces of information;die Information, -en
the internet access, internet accesses;der Internetzugang, -e
the medium/media, media;das Medium, Medien
the mistake/error, errors;der Fehler, -
the news (plural);die Nachrichten, Pl
the online game, online games;das Online-Spiel, -e
the option, options;die Option, -en
the part-time work (singular);die Teilzeitarbeit, Sg.
the program/broadcast, programs;die Sendung, -en
the pronunciation (singular);die Aussprache, Sg
the quiz (singular);das Quiz, Sg,
the reason/ground, reasons;der Grund, -e
the refugee shelter/home, shelters;das Flüchtlingsheim, -e
the sentence, sentences;der Satz, -e
the series, series;die Serie, -n
the software (singular);die Software, Sg
the story/history (singular);die Geschichte, Sg.
the studies/study program (singular);das Studium, Sg.
the talk show, talk shows;die Talkshow, -s
the television (singular);das Fernsehen, Sg.
the traffic report, traffic reports;die Verkehrsmeldung, -en
the university, universities;die Universität, -en
the weather report, weather reports;der Wetterbericht, -e
the website, websites;die Internetseite, -n
the word, words;das Wort, -er
the world (singular);die Welt, Sg.
theater group;die Theatergruppe, -n
this (masculine/neuter);dieser, -e, -es
thought;der Gedanke, -n
thunderstorm;das Gewitter, -
tight, narrow;eng
timetable, schedule;der Stundenplan, -e
tip;das Trinkgeld, -er
to address formally (use "Sie");siezen
to address informally (use "du");duzen
to admit, to concede;einräumen
