German;English
abbiegen;to turn / to branch off
abfahren;to depart / to drive away / to leave
abfliegen;to take off / to fly away
abgeben;to hand in / to submit / to give away
abhängen;to depend / to hang down / to be addicted
abheben;to lift off / to withdraw (money) / to distinguish
abnehmen;to decrease / to take off / to take (laundry down)
abschließen;to lock / to conclude / to finish
anbieten;to offer / to provide
anerkennen;to recognize / to acknowledge / to accept
anfahren;to drive up / to start / to hit (with vehicle)
anfangen;to begin / to start
angeben;to indicate / to specify / to show off
anhalten;to stop / to hold on / to last
ankommen;to arrive / to depend on
annehmen;to accept / to assume / to adopt
anrufen;to call / to phone
ansehen;to look at / to watch / to see
anziehen;to put on / to dress / to attract
auffallen;to notice / to stand out / to attract attention
aufgeben;to give up / to submit / to surrender
aufladen;to load / to charge / to upload
aufnehmen;to record / to take up / to admit
aufstehen;to get up / to stand up
aufwachsen;to grow up
ausfallen;to fail / to cancel / to drop out
ausgeben;to spend / to give out / to issue
ausgehen;to go out / to assume / to start from
aussehen;to look / to appear / to resemble
aussteigen;to get out / to exit / to quit
ausziehen;to move out / to take off (clothes) / to pull out
