English;German
to be interested (in);sich interessieren (für)
I'm having it renovated;ich lasse renovieren
I'm renovating it myself;ich renoviere selbst
ID card, identification document;der Ausweis, -e
ideal;ideal
if, when;wenn
illness, disease;die Krankheit, -en
the immigrant (male/female);der/die Zuwanderer/in,-/-nen
Immigrants in Germany;(A) Zuwanderer in Deutschland
in agreement;einverstanden
in disarray, mixed up;durcheinander
the inbox, inboxes;der Posteingang, -e
income tax assistance;die Lohnsteuerhilfe, Sg.
independence, self-employment;die Selbstständigkeit, Sg.
to inform oneself (about), to get information (on);sich informieren (über)
to inform, to let someone know;Bescheid sagen
information;die Auskunft, -e
the information, pieces of information;die Information, -en
injection, syringe;die Spritze, -n
to insert (e.g., coins), to throw in;einwerfen
to install;installieren
insurance;die Versicherung, -en
intelligent;intelligent
interest;die Zinsen, meistens Pl.
interesting, boring;interessant,langweilig
intermediate school (German school type);die Realschule, -n
international;international
the internet access, internet accesses;der Internetzugang, -e
internship, work placement;das Praktikum, Praktika
to introduce, to imagine;vorstellen
to invest, to set up (e.g., an account);anlegen
to iron;bügeln
island;die Insel, -n
it works out, it succeeds;es klappt
It's very busy here.;Hier ist viel los.
