German;English
z.B. (= zum Beispiel);e.g. (for example)
Zahlung, die, -en;payment
Zahn, der, -¨e;tooth
Zahnbürste, die, -n;toothbrush
zeigen;to show
Zeitarbeitsfirma, die, -firmen;temporary employment agency
Zeitschrift, die, -en;magazine, journal
Zelt, das, -e;tent
zentral;central
Zentrum, das, Zentren;center
Zettel, der, -;note, slip of paper
Zeugnis, das, -se;report card, certificate
Zielgruppe, die, -n;target group
Zinsen, Pl.;interest
zu Ende sein;to be over, to end
zufrieden;satisfied, content
zuhören;to listen
zu Mittag essen;to have lunch
zunehmen;to gain weight; to increase
zurückbekommen;to get back, to receive back
zurückbringen;to bring back, to return
zurückrufen;to call back
zurzeit;at the moment, currently
zusammenarbeiten;to work together, to collaborate
zusammenhalten;to stick together, to hold together
zusammenpassen;to match, to go well together
zusammenstellen;to put together, to compile
zuständig;responsible (for)
zustimmen;to agree, to consent
zuverlässig;reliable
Zuwanderer/in, der/die, -/-nen;immigrant
Zwilling, der, -e;twin
