English;German
to be fat, overweight;dick sein
to be friends;befreundet sein
to fail/be canceled, fails, has failed;ausfallen, fällt aus, ist ausgefallen
to fall;fallen
to fall asleep;einschlafen
to fall asleep, falls asleep, has fallen asleep;einschlafen, schläft ein, ist eingeschlafen
to fall asleep, I have fallen asleep;einschlafen, ich bin eingeschlafen
to fall in love;sich verlieben
to fall, to drop;sinken
Families in the past;Familien früher
family;Familie
family benefits office;Familienkasse
the family benefits office;die Familienkasse
family benefits office (for child benefits);Familienkasse
the family doctor (female);die Hausärztin, -nen
family doctor/general practitioner;Hausarzt/Hausärztin
the family doctor/general practitioner;der Hausarzt -e
family life;Familienleben
family name/surname;Familienname
family photo;Familienfoto
Family photos;Familienfotos
fantastic;fantastisch
far;weit
far/wide;weit
farm;Bauernhof
the farm;der Bauernhof, -e
fast;schnell
fast/quick;schnell
fat;das Fett, -e
father;Vater
the father, fathers;der Vater, -
favorable offers, good deals;günstige Angebote
favorable, inexpensive;günstig
favorable/affordable;günstig
favorite color;Lieblingsfarbe
favorite subject;das Lieblingsfach, -er
the feature film, feature films;der Spielfilm, -e
February;der Februar
Federal Employment Agency;Bundesagentur für Arbeit
the Federal Employment Agency;die Bundesagentur für Arbeit
fee;Gebühr
the fee;die Gebühr. -en
fee, charge;die Gebühr, -en
fee/charge;Gebühr
to feed;füttern
to feel;sich fühlen
to feel comfortable;sich wohlfühlen
to feel like/want to;Lust haben
female;weiblich
female students;Studentinnen
female/feminine;weiblich
festival committee;Festkomitee
festival/party;Fest
the festival/party;das Fest, -e
fever;Fieber
the fever (singular);das Fieber, Sg
fever thermometer;Fieberthermometer
few (dative/genitive plural);wenigen
few minutes;wenigen Minuten
a few tips;paar Tipps
the file, files;die Datei, -en
to fill out;ausfüllen
to fill out a form;ein Formular ausfüllen
to fill out forms;Formulare ausfüllen
filled out;ausgefüllt
film/movie;Film
the film/movie, movies;der Film, -e
final examination;die Abschlussprüfung, -en
finally/at last;endlich
to finance;finanzieren
to find;finden
to find - How do you like...?;finden - Wie findest du ...?
to find - The street is easy to find;finden - Die Straße kann man einfach finden
to find quite easily;ganz einfach finden
to find, finds, has found;finden, findet, hat gefunden
fine sand;feiner Sand
fine, penalty;die Strafe, -n
finger;Finger
the finger;-e der Finger, -
the finger and the toe;der Finger und der Zeh
fire;Feuer
the fire (singular);das Feuer, Sg
fire department;Feuerwehr
the fire department;die Feuerwehr, -en
fireworks;das Feuerwerk, -e
first;zuerst
first (feminine/plural form);Erste
First (he/she) reads;Zuerst liest
first (plural/accusative/dative);ersten
first name;Vorname
the first name;der Vorname
first on foot;erst zu Fuß
first, at first;zuerst
first, for now;erst mal
first, have a tea for now;jetzt erst mal einen Tee
first/at first;zuerst
first/only;erst
first/second class;die Erste/Zweite Klasse
fish;Fisch
the fish, fish;der Fisch, -e
to fit;passen
to fit/suit;passen
fitness center;das Fitnesscenter, -
fits, suits, works;Passt
fitted kitchen;die Einbauküche, -n
five times;fünfmal
flea market;Flohmarkt
the flea market;der Flohmarkt, -e
flexible;flexibel
flight;der Flug, -¨e
flight ticket;das Flugticket, -s
floor, ground;der Boden, -
the floor/story, floors;der Stock, Pl.: Stockwerke
floor/story/stick;Stock
floors, stories;Stockwerke
floors/stories;Stockwerke
flower;Blume
the flower, flowers;die Blume, -n
flowers;Blumen
flowers bloom;Blumen blühen
flu;Grippe
the flu;die Grippe, -n
to fly;fliegen
to fly, flies, has flown;fliegen, fliegt, ist geflogen
folder, binder;der Ordner, -
follow-up question;Rückfrage
Food in Germany;Essen in Deutschland
food/meal;Essen
the food/meal (singular);das Essen, Sg
foot;Fuß
the foot and the hand;der Fuß und die Hand
the foot, the;der Fuß, -e der
football (soccer) club;der Fußballverein, -e
for;für
for - What exactly is bothering you?;denn - Was fehlt Ihnen denn?
for a long time already;schon lang(e)
for example;zum Beispiel
for it/in favor;dafür
for me;für mich
for school;für die Schule
for that, for this purpose;dafür
for the children;für die Kinder
foreign;ausländisch
foreign country;Ausland
foreign language;die Fremdsprache, -n
foreigners' office;Ausländeramt
the foreigners' office;das Ausländeramt, -er
the foreigners' registration office;das Ausländeramt
forest;Wald
the forest;der Wald, -er
the forests;die Wälder
to forget;vergessen
forget (imperative/infinitive);vergiss
to forget, forgets, has forgotten;vergessen, vergisst, hat vergessen
fork;die Gabel, -n
form;Formular
the form;das Formular, -e
formal;formell
Formal and informal;Formell und informell
free of charge;kostenlos
Free time with the family;Freizeit mit der Familie
free time/leisure;Freizeit
free/available;frei
frequent/frequently;häufig
Friday;Freitag
the Friday, Fridays;der Freitag, -e
friend (male);Freund
friendly;freundlich
friendly, (Yours sincerely);freundlich, ( Mit freundlichen Grüßen)
friendship;die Freundschaft, -en
friendship society;der Freundschaftsverein, -e
from;ab
from - She's coming from work;von - Sie kommt von der Arbeit
from ... to by profession;von ... bis von Beruf
from where;woher
from...to;von...bis
from/of;von
front door, main entrance door;Haustür
fruit;das Obst
the fruit;das Obst, Sg
fruit and vegetable shop;Obst- und Gemüseladen
fruit and vegetable store;Obst- und Gemüseladen
fun;Spaß
funny/amusing;lustig
funny/strange;komisch
furniture;Möbel
the furniture (plural);die Möbel, Pl
further education, continuing education;die Weiterbildung, -en
further training, professional development;die Fortbildung, -en
