English;German
majority / most;Mehrheit, die, -en
management / directorate / head office;Direktion, die, -en
managing director / CEO;Geschäftsführer/in, der/die, -/-nen
managing director / CEO / general manager;Geschäftsführer/in, der/die, -/-nen
market;Markt, der “-e
marketing department;Marketingabteilung, die, -en
marriage;Ehe, die, -n
marriage / wedding;Heirat, die, -en
marriage age / age at marriage;Heiratsalter, das, Sg.
married couple;Ehepaar, das, -e
material / physical / financial;materiell
maternity protection / maternity leave;Mutterschutz, der, Sg.
maternity protection law;Mutterschutzgesetz, das, -e
mattress;Matratze, die, -n
may / to be allowed / to be permitted;dürfen
mayor;Bürgermeister/in, der/die, -/-nen
mayoral election;Bürgermeisterwahl, die, -en
meal distribution / food service;Essensausgabe, die, -n
meanwhile / in the meantime / by now;inzwischen
mechanic;Mechaniker/in, der/die,-/-nen
mechanical engineer;Maschinenbauingenieur, der/die, -/-nen
mechatronics technician;Mechatroniker/in, der/die,-/-nen
media world;Medienwelt, die, Sg.
medical / medicinal;medizinisch
meeting / session;Sitzung, die, -en
member of parliament / representative;Abgeordnete, der/die, -n/-n
men's department;Herrenabteilung, die, -en
mental / intellectual / spiritual;geistig
midwife;Hebamme, die, -n
midwife practice;Hebammenpraxis, die, -praxen
migrant / immigrant;Migrant/in, der/die, -en/-nen
migrant background / immigration background;Migrationshintergrund, der, Sg.
minister;Minister/in, der/die, -/-nen
mobility;Mobilität, die, Sg.
modest / humble;bescheiden
moreover / in addition / besides;zudem
mother-in-law;Schwiegermutter, die, *-
motor vehicle liability insurance;Kfz-Haftpflichtversicherung, die, -en
motorcyclist;Motorradfahrer/in, der/die, -/-nen
mountain range / mountains;Gebirge, das, -
multilingual;mehrsprachig
municipal / local;kommunal
municipal council meeting;Gemeinderatsitzung, die, -en
municipal councilor;Gemeinderat/-rätin, der/die,“-e/-nen
municipal finances;Gemeindefinanzen, Pl.
municipal tasks;Kommunale Aufgaben
municipality / commune;Kommune, die, -en
muscle pain;Muskelschmerz, der, -en
music association;Musikvereinigung, die, -en
music award;Musikpreis, der, -e
music band;Musikband, die, -s
music CD;Musik-CD, die, -s
music teacher;Musiklehrer/in, der/die, -/-nen
musical;Musical, das, -s
musical performer;Musicaldarsteller/in, der/die,
musician;Musiker/in, der/die, -/-nen
must / to have to;müssen
mustard;Senf, der, Sg.
mustard recipe;Senfrezept, das, -e
mustard salon;Senfsalon, der, -s
my darling / my treasure;mein Schatz
