 German;English
 ab und zu  ;(every once in a while)  Time (Temporal – Frequency)  Answers "how often?" – from time to time 
 Ab und zu gehe ich ins Kino. ;   Every once in a while I go to the cinema. 
 absolut  ;(absolutely)  Degree (Grad)  Answers "how much?" – completely, totally 
 Das ist absolut richtig. ;   That is absolutely correct. 
 allein(e)  ;(alone)  Manner (Modal)  Answers "how?" – without others 
 Das kann ich allein machen. ;   I can do that alone. 
 also ; (so / thus)  Logical Connector (Conjunctive)  Indicates a logical conclusion 
 Es regnet, also bleibe ich daheim. ;   It's raining, so I'm staying home. 
 andererseits  ;(on the other hand)  Logical Connector (Conjunctive)  Indicates contrast 
 Andererseits habe ich keine Zeit. ;   On the other hand, I have no time. 
 ansonsten ; (otherwise)  Logical Connector (Conjunctive)  Indicates an alternative 
 Ansonsten ist alles in Ordnung. ;   Otherwise, everything is fine. 
 außerdem  ;(besides / in addition)  Logical Connector (Conjunctive)  Adds another piece of information 
 Das Essen ist teuer und außerdem nicht gut. ;   The food is expensive and besides not good. 
 bald ; (soon)  Time (Temporal)  Answers "when?" – in the near future 
 Wir sehen uns bald. ;   We will see each other soon. 
 besonders  ;(especially)  Degree (Grad)  Answers "how much?" – to a special extent 
 Das ist besonders wichtig. ;   That is especially important. 
 bisher  ;(up until now)  Time (Temporal)  Answers "when?" – from the past until the present 
 Bisher war alles gut.  ;  Up until now, everything was good. 
 da / dort  ;(there)  Place (Lokal)  Answers "where?" – at that location 
 Das Buch liegt dort.  ;  The book is lying there. 
 dabei  ;(thereby / while doing that)  Pronominal Adverb (da-)  Refers to an action or situation mentioned before 
 Er ist dabei. ;   He is participating. 
 dadurch  ;(through that / thereby)  Pronominal Adverb (da-)  Indicates means or causation 
 Dadurch wurde alles besser.  ;  Through that, everything became better. 
 dafür ; (for that / in favor)  Pronominal Adverb (da-)  Indicates support or purpose 
 Ich bin dafür. ;   I am for it. 
 dagegen ; (against that / in contrast)  Pronominal Adverb (da-)  Indicates opposition or comparison 
 Ich bin dagegen. ;   I am against it. 
 dahinter  ;(behind it)  Pronominal Adverb (da-)  Refers to a hidden reason or physical location 
 Was steckt dahinter?  ;  What is behind it? 
 daher  ;(therefore / that is why)  Logical Connector (Conjunctive)  Indicates cause or reason 
 Daher komme ich zu spät. ;   That is why I am late. 
 damals  ;(back then)  Time (Temporal)  Answers "when?" – in a past time period 
 Damals war ich ein Kind. ;   Back then I was a child. 
 damit ; (with that / so that)  Pronominal Adverb (da-)  Indicates means or purpose 
 Damit kann ich arbeiten. ;   I can work with that. 
 danach ; (after that)  Pronominal Adverb (da-)  Indicates sequence or reference 
 Danach gingen wir nach Hause. ;   After that, we went home. 
 daneben  ;(next to it / compared with it)  Pronominal Adverb (da-)  Indicates physical position or comparison 
 Daneben ist alles klein. ;   Compared with it, everything is small. 
 daran ; (on it / at it / of it)  Pronominal Adverb (da-)  Indicates physical contact or reference 
 Ich arbeite daran.  ;  I am working on it. 
 darauf ; (on that / after that)  Pronominal Adverb (da-)  Indicates time sequence or physical position 
 Darauf warte ich schon lange. ;   I have been waiting for that a long time. 
 daraus ; (out of that / from that)  Pronominal Adverb (da-)  Indicates origin or result 
 Daraus wird nichts.  ;  Nothing will come of that. 
 darin  ;(in it / in that)  Pronominal Adverb (da-)  Indicates location or abstract reference 
 Ich habe mich darin geirrt.;   I was mistaken in that. 
 darüber ; (about that / over that)  Pronominal Adverb (da-)  Indicates topic or location 
 Wir sprechen darüber. ;   We are talking about that. 
 darum  ;(around that / therefore)  Pronominal Adverb (da-)  Indicates reason or physical position 
 Es geht darum. ;   That's what it's about. 
 darunter ; (under it / among them)  Pronominal Adverb (da-)  Indicates position or inclusion 
 Darunter verstehe ich etwas anderes. ;   I understand something different by that. 
 davon ; (from that / of that)  Pronominal Adverb (da-)  Indicates origin or partitive relationship 
 Ich habe davon genug.  ;  I have enough of it. 
 davor ; (before that / in front of it)  Pronominal Adverb (da-)  Indicates time or place 
 Davor hatte ich Angst.  ;  I was afraid of that. 
 dazu ; (to that / for that / in addition)  Pronominal Adverb (da-)  Indicates addition, purpose, or reference 
 Ich habe nichts dazu zu sagen. ;   I have nothing to say about that. 
 dazwischen ; (between them / in between)  Pronominal Adverb (da-)  Indicates position between things 
 Dazwischen liegt ein Park.   ; Between them lies a park. 
 dennoch  ;(nevertheless)  Logical Connector (Conjunctive)  Indicates contrast or concession 
 Es regnete, dennoch gingen wir. ;   It rained, nevertheless we went. 
 deshalb / deswegen ; (therefore / that's why)  Logical Connector (Conjunctive)  Connects two clauses with a cause-effect relationship 
 Es regnet, deshalb bleibe ich zu Hause. ;   It's raining, therefore I am staying home. 
 draußen  (outside) ; Place (Lokal)  Answers "where?" – in the outdoor area 
 Die Kinder spielen draußen.  ;  The children are playing outside. 
 drin ; (in it / inside)  Pronominal Adverb (Colloquial)  Colloquial variant of darin 
 Ich bin ganz drin im Stoff.   ; I'm fully into the material. 
 drinnen ; (inside)  Place (Lokal)  Answers "where?" – in the indoor area 
 Bleib drinnen, es regnet. ;   Stay inside, it's raining. 
 drum ; (around it / therefore)  Pronominal Adverb (Colloquial)  Colloquial variant of darum 
 Es geht drum.  ;  That's what it's about. 
 drunter ; (under it)  Pronominal Adverb (Colloquial)  Colloquial variant of darunter 
 Drunter leidet die Qualität.  ;  The quality suffers under it. 
 drüber ; (about it / over it)  Pronominal Adverb (Colloquial)  Colloquial variant of darüber 
 Lass uns drüber reden.  ;  Let's talk about it. 
 ehemalig ; Time (Temporal)  Answers "when?" – belonging to an earlier time 
 Mein ehemaliger Chef.  ;  My former boss. 
 ein bisschen ; (a little bit)  Degree (Grad)  Answers "how much?" – small amount 
 Kannst du ein bisschen leiser sein? ;   Can you be a little bit quieter? 
 endlich ; (at last / finally)  Time (Temporal)  Answers "when?" – after a long wait 
 Endlich bin ich zu Hause.;    Finally I am home. 
 erst  ;(only / not until)  Time (Temporal)  Answers "when?" – later than expected 
 Erst morgen kommt er.  ;  He is not coming until tomorrow. 
 etwas  ;(somewhat / a bit)  Degree (Grad)  Answers "how much?" – moderate but vague amount 
 Ich bin etwas müde.  ;  I am somewhat tired. 
 fast ; (almost)  Degree (Grad)  Answers "how much?" – very close but not completely 
 Ich bin fast zu Hause.  ;  I am almost home. 
 fast nie ; (almost never)  Time (Temporal – Frequency)  Answers "how often?" – very rarely 
 Er isst fast nie Fleisch.  ;  He almost never eats meat. 
 folglich ;(consequently)  Logical Connector (Conjunctive)  Indicates a logical consequence 
 Folglich muss er schuldig sein. ;   Consequently, he must be guilty. 
 früher ; (earlier / back in the day)  Time (Temporal)  Answers "when?" – in a past time 
