 German;English
German;English
ich;I (nominative)
mich;me (accusative)
mir;to me (dative)
meiner;of me (genitive)
mein/meine;my (possessive)
du;you (singular informal, nominative)
dich;you (accusative)
dir;to you (dative)
deiner;of you (genitive)
dein/deine;your (possessive)
er;he (nominative)
ihn;him (accusative)
ihm;to him (dative)
seiner;of him (genitive)
sein/seine;his (possessive)
sich;himself (reflexive)
sie (she);she (nominative)
sie;her (accusative)
ihr;to her (dative)
ihrer;of her (genitive)
ihr/ihre;her (possessive)
sich;herself (reflexive)
es;it (nominative)
es;it (accusative)
ihm;to it (dative)
seiner;of it (genitive)
sein/seine;its (possessive)
sich;itself (reflexive)
wir;we (nominative)
uns;us (accusative)
uns;to us (dative)
unser;of us (genitive)
unser/unsere;our (possessive)
uns;ourselves (reflexive)
ihr;you (plural informal, nominative)
euch;you (accusative, plural informal)
euch;to you (dative, plural informal)
eurer;of you (genitive, plural informal)
euer/eure;your (possessive, plural informal)
euch;yourselves (reflexive)
sie (they);they (nominative)
sie;them (accusative)
ihnen;to them (dative)
ihrer;of them (genitive)
ihr/ihre;their (possessive)
sich;themselves (reflexive)
Sie (formal you);you (formal, nominative)
Sie;you (formal, accusative)
Ihnen;to you (formal, dative)
Ihrer;of you (formal, genitive)
Ihr/Ihre;your (formal, possessive)
sich;yourself / yourselves (reflexive, formal)
