English;German
object / item / subject;Gegenstand, der, “-e
observation;Beobachtung, die, -en
of course / self-evident / natural;selbstverständlich
office assistant / clerical assistant;Bürohilfe, die, -n
official residence / seat of office;Amtssitz, der, -e
oil;Öl, das, -e
oil level;Ölstand, der, Sg.
on the other hand;andererseits
on the other hand / conversely;andererseits
on weekdays / during the week;wochentags
ongoing / current / running;laufend
online application;Online-Bewerbung, die -en
online business;Online-Geschäft, das, -e
online chat;Online-Chat, der, -s
online provider;Online-Anbieter, der, -
online purchase;Online-Kauf, der, “-e
online shop;Online-Shop, der, -s
online shopping;Online-Shopping, das, Sg.
online ticket;Online-Ticket, das, -s
only child;Einzelkind, das, -er
open / open-minded / frank;offen
opening / inauguration;Eröffnung, die, -en
opening hours;Öffnungszeiten, Pl.
operating room;Operationssaal, der, -säle
opportunity / chance;Gelegenheit, die, -en
opposition;Opposition, die, Sg.
optimistic;optimistisch
order / ordering;Bestellung, die, -en
organic waste / biodegradable waste;Biomüll, der, Sg.
otherwise / else;sonst
overall / altogether / in total;insgesamt
overjoyed / extremely happy;überglücklich
owner / holder;Inhaber/in, der/die, -/-nen
