German;English
aber ;(but) – coordinating (nebenordnend)
Er ist müde, aber er arbeitet weiter.; (He is tired, but he continues working.)
allein ;(but/however) – coordinating (nebenordnend)
Ich rief ihn an, allein er war nicht da.; (I called him, but he wasn't there.)
als; (when – past) – subordinating (unterordnend)
Als ich Kind war, lebte ich in Berlin.; (When I was a child, I lived in Berlin.)
anstatt dass ;(instead of) – subordinating (unterordnend)
Anstatt dass er arbeitet, schläft er.; (Instead of working, he sleeps.)
außer dass ;(except that) – subordinating (unterordnend)
Ich weiß nichts, außer dass er spät kam.;(I know nothing except that he came late.)
bevor; (before) – subordinating (unterordnend)
Ich wasche mir die Hände, bevor ich esse.; (I wash my hands before I eat.)
bis; (until) – subordinating (unterordnend)
Bleib hier, bis ich zurückkomme.; (Stay here until I come back.)
da ;(since/because) – subordinating (unterordnend)
Da du müde bist, solltest du schlafen.; (Since you are tired, you should sleep.)
dadurch dass ;(by the fact that) – subordinating (unterordnend)
Dadurch dass er übte, wurde er besser. ;(By the fact that he practiced, he became better.)
dass ;(that) – subordinating (unterordnend)
Ich weiß, dass du recht hast. ;(I know that you are right.)
denn; (because/for) – coordinating (nebenordnend)
Ich bleibe zu Hause, denn es regnet.; (I stay home, for it is raining.)
doch; (however/yet) – coordinating (nebenordnend)
Es war schwer, doch wir haben es geschafft.; (It was hard, yet we made it.)
falls; (in case/if) – subordinating (unterordnend)
Nimm einen Regenschirm, falls es regnet.; (Take an umbrella in case it rains.)
indem; (by – means) – subordinating (unterordnend)
Sie lernt, indem sie übt.; (She learns by practicing.)
indes; (meanwhile/whereas) – subordinating (unterordnend)
Ich arbeite, indes er schläft.; (I work, whereas he sleeps.)
indessen ;(meanwhile/whereas) – subordinating (unterordnend)
Sie lacht, indessen er weint. ;(She laughs, whereas he cries.)
je...desto ;(the...the) – double conjunction (Doppelkonjunktion)
Je mehr du lernst, desto besser wirst du.; (The more you learn, the better you will become.)
je...umso; (the...the) – double conjunction (Doppelkonjunktion)
Je früher du kommst, umso besser.; (The earlier you come, the better.)
jedoch ;(however) – coordinating; (nebenordnend)
Das Wetter war schlecht, jedoch gingen wir spazieren. (The weather was bad, however we went for a walk.)
nachdem ;(after) – subordinating (unterordnend)
Nachdem er gegessen hatte, ging er schlafen.; (After he had eaten, he went to sleep.)
ob ;(whether) – subordinating (unterordnend)
Ich weiß nicht, ob er kommt.; (I don't know whether he is coming.)
obgleich; (although) – subordinating (unterordnend)
Obgleich er krank war, kam er zur Arbeit. ;(Although he was sick, he came to work.)
obwohl ;(although) – subordinating (unterordnend)
Er ging spazieren, ;obwohl es regnete. (He went for a walk although it was raining.)
oder; (or) – coordinating (nebenordnend)
Möchtest du Tee oder Kaffee?; (Would you like tea or coffee?)
ohne dass; (without) – subordinating (unterordnend)
Er ging, ohne dass er etwas sagte.; (He left without saying anything.)
seitdem; (since then) – subordinating (unterordnend)
Seitdem er in Berlin wohnt, lernt er Deutsch. ;(Since he lives in Berlin, he learns German.)
sobald ;(as soon as) – subordinating (unterordnend)
Ich rufe dich an, sobald ich zu Hause bin. ;(I will call you as soon as I am home.)
sodass; (so that) – subordinating (unterordnend)
Er sprach laut, sodass alle ihn hörten. ;(He spoke loudly so that everyone heard him.)
sofern ;(provided that) – subordinating (unterordnend)
Ich komme, sofern du mich einlädst. ;(I will come provided that you invite me.)
solange; (as long as) – subordinating (unterordnend)
Solange du lernst, wirst du Erfolg haben.;(As long as you study, you will succeed.)
sondern ;(but rather) – coordinating (nebenordnend)
Er ist nicht dumm, sondern faul. ;(He is not stupid, but rather lazy.)
sooft ;(as often as) – subordinating (unterordnend)
Sooft ich ihn sehe, lacht er. ;(As often as I see him, he laughs.)
soweit ;(as far as) – subordinating (unterordnend)
Das ist gut, soweit ich beurteilen kann. ;(That is good, as far as I can judge.)
sowie ;(as soon as/as well as) – subordinating (unterordnend)
Er rief an, sowie er zu Hause war. ;(He called as soon as he was home.)
und ;(and) – coordinating (nebenordnend)
Ich trinke Kaffee und esse Kuchen. ;(I drink coffee and eat cake.)
während ;(while/whereas) – subordinating (unterordnend)
Ich arbeite, während du schläfst.; (I work while you sleep.)
weil ;(because) – subordinating (unterordnend)
Ich lerne Deutsch, weil es Spaß macht. ;(I learn German because it is fun.)
wenn; (if/when) – subordinating (unterordnend)
Wenn ich Zeit habe, komme ich. ;(If I have time, I will come.)
wenn auch; (even if/although) – subordinating (unterordnend)
Er hilft mir, wenn auch nur wenig.; (He helps me, even if only a little.)
weshalb ;(therefore/why) – subordinating (unterordnend)
Sie sagte mir, weshalb sie geht.; (She told me why she is leaving.)
weswegen; (for what reason) – subordinating (unterordnend)
Ich verstehe nicht, weswegen er wütend ist.;(I don't understand why he is angry.)
wie; (how/as) – subordinating (unterordnend)
Ich sehe, wie du arbeitest. ;(I see how you work.)
wieso; (how come/why) – subordinating (unterordnend)
Er erklärte mir, wieso er zu spät kam.; (He explained to me why he was late.)
wo ;(where) – subordinating (unterordnend)
Das ist das Haus, wo ich wohne.; (That is the house where I live.)
woher ;(from where) – subordinating (unterordnend)
Ich weiß nicht, woher er kommt.; (I don't know where he comes from.)
wohin; (to where) – subordinating (unterordnend)
Kannst du mir sagen, wohin du gehst? ;(Can you tell me where you are going?)
zumal ;(especially since) – subordinating (unterordnend)
Ich helfe ihm, zumal er mein Freund ist. ;(I help him, especially since he is my friend.)

