German;English
ganz;whole/quite
gar nicht;not at all
Garage;garage
Garten;garden
Gast;guest
geben;to give
geben - es gibt;to give - there is/are
geboren;born
Gebühr;fee/charge
Geburtsdatum;date of birth
Geburtsort;place of birth
Geburtsurkunde;birth certificate
gefährlich;dangerous
gefallen;to like/please
gegenüber;opposite/across from
Gehaltsabrechnung;pay slip
gehen - Wie geht es Ihnen?;to go - How are you?
gehen - Der Kurs geht bis 12 Uhr;to go - The course goes until 12 o'clock
gehen - Ja, das geht;to go - Yes, that works
gehen - Sie geht aus dem Haus;to go - She leaves the house
gehen - Das Licht geht nicht;to go - The light doesn't work
gehören;to belong
gelb;yellow
Geld;money
eldautomat;(likely typo) ATM/cash machine
Gemeinde;municipality/community
Gemüse;vegetables
gemütlich;cozy/comfortable
genau;exact/exactly
genauso;just as/exactly like
genug;enough
geöffnet;open/opened
gerade;just/straight
geradeaus;straight ahead
Gern geschehen!;You're welcome!
gern;gladly/with pleasure
gerne;gladly/willingly
Geschäft;shop/business
Geschenkartikel;gift articles
geschieden;divorced
Geschwister;siblings
Gespräch;conversation
gestern;yesterday
gesund;healthy
Gesundheit;health
Gesundheitskarte;health insurance card
Getränk;drink
gießen;to water/pour
Glas;glass
glauben;to believe
gleich - Ich komme gleich;immediately/same - I'll be right there
gleich - Mein Haus ist gleich rechts;same - My house is immediately to the right
gleich - der gleiche Preis;same - the same price
Gleis;track/platform
Glück;luck/happiness
Grad;degree
Grafiker;graphic designer
Gramm;gram
grau;gray
Griechisch;Greek
Grill;grill
grillen;to barbecue/grill
Grippe;flu
groß;big/large
Größe;size
Großeltern;grandparents
Großmutter;grandmother
Großstadt;large city/metropolis
Großvater;grandfather
Gruß;greeting
gucken;to look/watch
günstig;favorable/affordable
Gurke;cucumber
gut;good
Gute Besserung;Get well soon
Guten Morgen;Good morning
Guten Tag;Good day/Hello
Guten Abend;Good evening
Gymnastik;gymnastics
