German;English
machen (hier: Das macht nichts);to do (here: It doesn't matter)
Magen, der, -¨;stomach
Magenschmerzen, Pl.;stomach ache
mangelhaft;deficient, unsatisfactory
Männerfreundschaft, die, -en;male friendship
Marktleiter/in, der/die, -/-nen;market manager, store manager
Maschine, die, -n;machine
Maschinenbau, der, Sg.;mechanical engineering
Maß, das, -e;measure, measurement
Massage, die, -n;massage
Massagestuhl, der, -¨e;massage chair
Materialkosten, Pl.;cost of materials
Mathe (= Mathematik);math
Mathematik, die, Sg. (hier: Schulfach);mathematics (here: school subject)
matt;matt; tired, dull
Mediennutzung die, Sg.;media usage
Medium, das, Medien;medium, media
Medizin, die, Sg.;medicine
mehrere;several
mehrtägig;lasting several days
Meinung, die, -en;opinion
meisten, die meisten;most (plural)
merken;to notice; to memorize
messen;to measure
Messer, das, -;knife
Milchprodukt, das, -e;dairy product
Million, die, -en;million
mindestens;at least
Minijob-Basis, die, Sg.;mini-job basis (low-paid employment)
mit (hier: mit drei Jahren);with (here: at the age of three)
Mitarbeiter/in, der/die, -/-nen;employee, staff member
Mitglied, das, -er;member
Mitgliedsbeitrag, der, -¨e;membership fee
mitsingen;to sing along
Mitteilung, die, -en;message, notice
mitten;in the middle of
mobil;mobile
modisch;fashionable
möglich;possible
Möglichkeit, die, -en;possibility, opportunity
Monatskarte, die, -n;monthly ticket (for transport)
Monatsmiete, die, -n;monthly rent
motivieren;to motivate
Mückenstich, der, -e;mosquito bite
Museum, das, Museen;museum
Musikfreund, der, -e;music friend, lover of music
Musikschulverein, der, -e;music school association
Musikverein, der, -e;music club
Muskel, der, -n;muscle
Muskeltraining, das, Sg.;muscle training
Mut, der, Sg.;courage
