German,English
Zahl.,number.
zahlen.,to pay.
zählen.,to count.
Zahnarzt.,dentist.
Zahnarzttermin.,dentist appointment.
Zahnbehandlung.,dental treatment.
Zahnbürste.,toothbrush.
Zahnkontrolle.,dental check-up.
Zahnpasta.,toothpaste.
Zahnschmerzen.,toothache.
Zeit.,time.
Zeitung.,newspaper.
zentral.,central.
Zentralheizung.,central heating.
Zimmer.,room.
Zoo.,zoo.
zu - Sie fährt zum Supermarkt.,to - She drives to the supermarket.
zu - zu lang.,too - too long.
zu kurz.,too short.
zu Fuß.,on foot.
zu Hause.,at home.
Zucker.,sugar.
zuerst.,first/at first.
Zig.,(likely incomplete) possibly "Zigarette" (cigarette).
zuletzt.,last/finally.
zurück.,back.
zurückkommen.,to come back/return.
zusammen.,together.
Zwiebel.,onion.
zwischen.,between.
