German;English
Babywindel, die, -n;baby diaper
Bach, der, “-e;stream / brook / creek
Backwaren, Pl.;baked goods
Bahnverkehr, der, Sg.;rail traffic / train service
Bananenschale, die, -n;banana peel
Basis, die, Sg.;basis / foundation
Basketball, der, -“e;basketball
Batterie, die, -n;battery
Bauarbeiten, Pl.;construction work / roadworks
bauen;to build / to construct
Baukosten, Pl.;construction costs
Bauzeit, die, -en;construction time / building period
beantworten;to answer / to respond
Bearbeitung, die, -en;processing / editing / handling
beeindruckend;impressive
befragen;to question / to interview / to interrogate
Befragte, der/die, -n;respondent / interviewee
Befragung, die, -en;survey / interview / questioning
begehen;to commit (crime) / to celebrate (occasion) / to walk on
Beginn, der, Sg.;beginning / start
behandeln;to treat
Behandlung, die, -en;treatment
beherrschen;to master / to control / to dominate
Behördengang, der, “-e;visit to authorities / official errand
beitragen;to contribute
bekannt;known / famous / familiar
beklagen (sich);to complain / to lament
belasten;to burden / to strain / to charge
bemerken;to notice / to observe / to remark
Benzin, das, Sg.;gasoline / petrol
beobachten;to observe / to watch / to monitor
Beobachtung, die, -en;observation
Beratungsgespräch, das, -e;counseling session / advisory talk
Beratungsstelle, die, -n;counseling center / advice center
bereits;already
berufserfahren;experienced (professionally)
Berufsleben, das, Sg.;professional life / working life
beschaffen;to obtain / to procure / to get
beschäftigen (sich) (mit);to deal with / to occupy oneself (with)
Beschäftigte, der/die, -n;employee / worker
Beschäftigung, die, -en;employment / occupation / activity
bescheiden;modest / humble
beschließen;to decide / to resolve / to conclude
beschreiben;to describe
Beschwerden, Pl.;complaints / ailments / discomforts
besitzen;to possess / to own
besonders;especially / particularly / special
bestätigen;to confirm
bestehen (aus);to consist (of)
Bestellung, die, -en;order / ordering
bestimmen;to determine / to decide / to set
bestimmt;certainly / definitely / determined
bestimmt sein (für etwas oder jemanden);to be meant (for something or someone)
betätigen (sich);to be active / to engage in / to operate
Betrag, der, “-e;amount / sum
betragen;to amount to / to total / to be
Betreffzeile, die, -n;subject line
Betreuungsmöglichkeit, die, -en;childcare option / care possibility
Betrieb, der, -e;company / business / operation
Betriebsklima, das, Sg.;work atmosphere / company climate
Betriebsvereinbarung, die, -en;company agreement / works agreement
Bevölkerungsentwicklung, die, -en;population development / demographic change
bevor;before
bewahren (hier: Ruhe bewahren);to keep / to preserve / to maintain (here: to keep calm)
Bewerber/in, der/die, -/-nen;applicant / candidate
Bewerbungsmappe, die, -n;application folder / job application portfolio
Bewerbungstraining, das, Sg.;application training / job application coaching
bewerten;to rate / to evaluate / to assess
Beziehung, die, -en;relationship / relation / connection
bilden;to form / to educate / to constitute
Bildungspolitik, die, Sg.;education policy
bis (Konj.);until / by / up to
Biogasanlage, die, -n;biogas plant
Biomüll, der, Sg.;organic waste / biodegradable waste
bisher;so far / previously / up to now
Blazer, der, -;blazer
Blick, der, -e;look / glance / view
Blinker, der, -;turn signal / indicator
Bluthochdruck, der, Sg.;high blood pressure
Branche, die, -n;industry / sector / field
Branchenkontakt, der, -e;industry contact / business contact
Brand, der, “-e;fire / blaze
Bremse, die, -n;brake
Briefmarke, die, -n;postage stamp
brutto;gross
Bruttogehalt, das, “-er;gross salary
Buchhandlung, die, -en;bookstore
Bundeskanzler/in, der/die, -/-nen;Federal Chancellor
Bundeskanzleramt, das, Sg.;Federal Chancellery
Bundesland, das, “-er;federal state / province
Bundespräsident/in, der/die, -en/-nen;Federal President
Bundesrat, der, Sg.;Federal Council (upper house)
Bundesregierung, die, -en;federal government
Bundestag, der, Sg.;German federal parliament
Bundesverfassungsgericht, das, Sg.;Federal Constitutional Court
Bundesversammlung, die, Sg.;Federal Assembly (joint parliamentary body)
Bürgermeister/in, der/die, -/-nen;mayor
Bürgermeisterwahl, die, -en;mayoral election
Busfahrkarte, die, -n;bus ticket
Busverbindung, die, -en;bus connection / bus service
Bürohilfe, die, -n;office assistant / clerical assistant
Businessplan, der, “-e;business plan
bzw. (= beziehungsweise);respectively / or (alternatively)
