German;English
Voller Freude lief Hans weiter;Hans continued walking full of joy
die Steine waren schwer;the stones were heavy
er bekam Durst;he became thirsty / he got thirsty
Als er aber aus einem Brunnen trinken wollte;But when he wanted to drink from a well
fielen die Steine hinein;the stones fell into it
Und was tat Hans?;And what did Hans do?
Der war überglücklich;He was overjoyed
dass er von den Steinen befreit war;that he was freed from the stones
So glücklich wie ich;As happy as I am
rief er aus;he exclaimed
gibt es keinen Menschen unter der Sonne;there is no person under the sun
er lief leichten Herzens nach Hause;he walked home light-hearted
