German;English
A3-Papier, das, Sg.;A3 paper
A4-Papier, das, Sg.;A4 paper
abbauen;to dismantle, to reduce, to disassemble
abends;in the evening, evenings
abfliegen;to depart (by plane)
Abflug, der, -¨e;departure (flight)
Abflugort, der, -e;place of departure (flight)
abheben;to withdraw (money); to take off (plane)
abhören;to listen in, to monitor; to interrogate
Abitur, das, Sg.;university entrance qualification, A-levels equivalent
ablehnen;to reject, to decline
abnehmen (1) Ich möchte 10 Kilo abnehmen;to lose weight (I want to lose 10 kilos)
abnehmen (2) Der Arzt nimmt Blut ab.;to take (The doctor takes blood)
Abrechnung die, -en;settlement, billing, statement
abschicken;to send off, to dispatch
abschließen (hier: eine Versicherung);to take out, to conclude (here: an insurance policy)
Abschluss, der, -¨e;completion, qualification, graduation
Abschlussprüfung, die, -en;final examination
Abstand, der, -¨e;distance, interval
Abteilungsleiter/in, der/die, -/-nen;department manager, head of department
Adressbuch, das, -¨er;address book
afrikanisch;African
ähnlich;similar
Ahnung, die, Sg. (hier: Keine Ahnung!);idea, clue (here: No idea!)
Akku-Bohrer, der, -;cordless drill
aktiv;active
aktuell;current, up-to-date
Alarm, der, -e;alarm
Alkohol, der, Sg.;alcohol
Alles Gute!;All the best!
allgemein;general, common
als (hier: Er arbeitet als Erzieher.);as (here: He works as an educator)
Alter, das, Sg.;age
Altstadt, die, Sg.;old town, historic center
anbieten;to offer
Anfang, der, -¨e;beginning, start
Anfänger/in, der/die, -;beginner
Anfrage, die, -n;inquiry, request
Angst die, Sg.;fear, anxiety
Anhang, der, -¨e;attachment (email); appendix
anhängen;to attach, to hang on, to add
Animationsfilm, der, -e;animated film
ankommen (hier: Die Kochkurse kommen sehr gut an.);to arrive; (here: The cooking courses are very well received)
anlegen (hier: Geld anlegen);to invest (here: to invest money)
Anruf, der, -e;telephone call
Anrufer/in, der/die, -/-nen;caller
Anschrift, die, -en;address
Antwort, die, -en;answer, reply
anziehen;to put on (clothes), to attract
App, die, -s;app, application
Arbeitgeberfrage, die, -n;employer question
Arbeitnehmer/in, der/die, -/-nen;employee
Arbeitnehmerfrage, die, -n;employee question
Arbeitsberater/in, der/die, -/-nen;careers advisor, employment counselor
Arbeitskollege, der, -n;colleague (male)
Arbeitskollegin, die, -nen;colleague (female)
Arbeitslosenversicherung, die, -en;unemployment insurance
Arbeitsmarkt, der, Sg.;labor market, job market
Arbeitspause, die, -n;work break
Arbeitsplan, der, -¨e;work schedule, work plan
Arbeitsplatz, der, -¨e;workplace, job
Arbeitssuche, die, Sg.;job search
Arbeitsverhalten, das, Sg.;work behavior, work attitude
Arbeitsvertrag, der, -¨e;employment contract
Arbeitszimmer, das, -;study, home office
Architekt/in, der/die, -en/-nen;architect
Architekturbüro, das, -s;architectural firm
ärgern (sich) (über);to be annoyed (about), to get angry (about)
Arzthelfer/in, der/die, -/-nen;doctor's assistant, medical assistant
Arztpraxis, die, -praxen;doctor's practice, medical office
Arzttermin, der, -e;doctor's appointment
Aufenthalt, der, -e;stay, sojourn
auffallen;to stand out, to be noticeable
aufgeben;to give up, to surrender
aufhängen;to hang up
aufladen;to load, to charge (battery)
auflegen;to hang up (phone)
Auftrag, der, -¨e;order, job, commission
Ausbildung die, -en;training, apprenticeship
Ausbildungsangebot, das, -e;training offer, apprenticeship offering
Ausbildungsjahr, das, -e;training year, year of apprenticeship
Ausbildungsplatz, der, -¨e;apprenticeship position, training place
Ausflugsziel, das, -e;excursion destination, day-trip destination
Ausgabe, die, -n;edition, issue; expense
ausgeben;to spend (money); to issue
Aushang, der, -¨e;notice, posted advertisement
Aushilfe, die, -n;temporary help, assistant
Auskunft, die, -¨e;information
ausprobieren;to try out, to test
ausreichend;sufficient, adequate
ausrichten;to align; to pass on (a message)
ausschalten;to turn off, to switch off
außerhalb;outside (of)
Aussprache, die, Sg.;pronunciation
Austausch, der, Sg.;exchange
auswählen;to select, to choose
Ausweis, der, -e;ID card, identification document
auswendig;by heart
Auszahlung, die, -en;payout, disbursement
Autoanmeldung, die, -en;car registration
Autobahn, die, -en;highway, motorway
Autobesitzer/in, der/die, -/-nen;car owner
autofrei;car-free
Autokonzern, der, -e;automotive group, car manufacturer
Automatikprogramm, das, -e;automatic program
Autopanne, die, -n;car breakdown
Autoreifen, der, -;car tire
Autounfall, der, -¨e;car accident
Autowerkstatt, die, -¨en;car repair shop, garage
