German;English
einhalten;to keep / to comply with / to maintain
einladen;to invite
einnehmen;to take (medicine) / to occupy / to earn
einschlafen;to fall asleep
eintragen;to enter / to register / to record
empfehlen;to recommend
entbinden;to deliver (baby) / to discharge
entscheiden;to decide
erfahren;to experience / to learn (about)
erhalten;to receive / to obtain / to maintain
erkennen;to recognize / to see / to realize
ernennen;to appoint / to nominate
erziehen;to raise / to educate / to bring up
essen;to eat
