German;English
Vater;father
verdienen ;to earn
Vereinbarung (nach Vereinbarung) ;agreement (by appointment/arrangement)
vergessen;to forget
verheiratet;married
verkaufen;to sell
Verkäufer;salesperson/seller
Verkehr;traffic
Verkehrsmittel;means of transport
verlängern;to extend/renew
verletzt;injured
Vermieter;landlord
Verpackung;packaging
Verspätung;delay
verstehen;to understand
Verwandte;relatives
Verzeihung;pardon me/excuse me
viel;much/a lot
viele;many
vielleicht;maybe/perhaps
Viertel;quarter/neighborhood
Visitenkarte;business card
Visum;visa
Visa;visas
Vitamin;vitamin
Volkshochschule;adult education center/community college
von - die Kindheit von Eva ;of - Eva's childhood
von - Sie kommt von der Arbeit;from - She's coming from work
von ... bis von Beruf;from ... to by profession
vor - Viertel vor sieben ;to/quarter to - quarter to seven
vor (- vor dem Haus;in front of - in front of the house
vorbereiten ;to prepare
Vorfahrt;right of way
Vorfahrtsschild;yield/right-of-way sign
Vorhang;curtain
Vormittag;morning (before noon)
vormittags;in the morning
Vorname;first name
vorne;in front/at the front
vorstellen;to introduce/imagine
Vorteil;advantage/benefit
Vorwahl;area code
