English;German
hard / tough / harsh;hart
hare / rabbit;Hase, der, -n
harmful / damaging;schädlich
harvest;Ernte, die, -n
hazardous waste collection;Schadstoffsammlung, die, -en
headlight;Scheinwerfer, der, -
headquarters / main office;Hauptsitz, der -e
health insurance;Krankenversicherung, die, -en
healthcare system;Gesundheitswesen, das, Sg.
heart;Herz, das, -en
heart attack;Herzinfarkt, der, -e
hectic / frantic / frenzied;hektisch
helpful / useful;hilfreich
high blood pressure;Bluthochdruck, der, Sg.
hit (song);Hit, der, -s
hit and run / fleeing the scene;Fahrerflucht, die, Sg.
home ownership / property ownership;Wohneigentum, das, Sg.
hood / bonnet (of a car);Motorhaube, die, -n
hopeless / without a chance;chancenlos
horse;Pferd, das, -e
hospital room;Krankenhauszimmer, das, -
host / presenter;Moderator/in, der/die, -en/-nen
hotel room;Hotelzimmer, das, -
household appliance;Haushaltsgerät, das, -e
househusband / stay-at-home dad;Hausmann, der, “-er
housing situation / living situation;Wohnsituation, die, -en
however / though / certainly;allerdings
human resources department;Personalabteilung, die, -en
hurricane / violent storm;Orkan, der, -e
hydropower / water power;Wasserkraft, die, Sg.
