German;English
weiß;I know / he/she/it knows (present)
Ich weiß die Antwort nicht.;I don't know the answer.
weißt;you know (singular informal)
Weißt du, wie spät es ist?;Do you know what time it is?
wissen;we know / they know (present)
Wir wissen Bescheid.;We know about it.
wisst;you know (plural informal)
Ihr wisst, was zu tun ist.;You know what to do.
wusste;I knew / he/she/it knew (simple past)
Das wusste ich nicht.;I didn't know that.
wusstest;you knew (singular informal)
Du wusstest es besser.;You knew better.
wussten;we knew / they knew (simple past)
Wir wussten die Wahrheit.;We knew the truth.
wusstet;you knew (plural informal)
Ihr wusstet von dem Problem.;You knew about the problem.
gewusst;known (past participle)
Das habe ich nicht gewusst.;I did not know that.
wüsste;I would know (subjunctive)
Das wüsste ich gerne.;I would like to know that.
wüsstest;you would know (singular informal)
Das wüsstest du, wenn du zugehört hättest.;You would know that if you had listened.
wüssten;we would know / they would know
Wir wüssten gerne mehr.;We would like to know more.
wüsstet;you would know (plural informal)
Ihr wüsstet das, wenn ihr gelernt hättet.;You would know that if you had learned.
