English;German
made;gemacht
made, did;hat gemacht
made/done (past participle of machen);gemacht
mail carrier;Briefträger
main course;die Hauptspeise, -n
main focus, emphasis;der Schwerpunkt, -e
main residence;Hauptwohnung
main station;Hauptbahnhof
male;männlich
male/masculine;männlich
manual, craft-related, artisanal;handwerklich
many;viele
Many children are indeed too fat;Viele Kinder sind ja zu dick
Many people;Viele Leute
many sights;viele Sehenswürdigkeiten
many sights, tourist attractions;viele Sehenswürdigkeiten
many things;viele Sachen
March;der März
marital status;Familienstand
market;Markt
market manager, store manager;der/die Marktleiter/in, -/-nen
married;verheiratet
mathematics (math);die Mathematik (Mathe),sg.
maximum temperatures up to;Höchsttemperaturen bis
maximum/at most;maximal
May;der Mai
Maybe / Perhaps;Vielleicht
maybe I'm looking for;Vielleicht suche
maybe, perhaps;Vielleicht
maybe/perhaps;vielleicht
meadow;Wiese
meal time;Essenszeit
means;bedeutet
means of transport;Verkehrsmittel
meat;Fleisch
meat sausage;Fleischwurst
medical practice;Praxis
medication;Medikament
medication, medicine;das Medikament
meeting point;Treffpunkt
meeting, discussion;die Besprechung, -en
member;das Mitglied, -er
membership fee;der Mitgliedsbeitrag, -¨e
memory;die Erinnerung, -en
men's clothing;Herrenbekleidung
men's trousers;Herrenhose
menu;die Speisekarte, -n
message, news;die Nachricht, -en
message, notice;die Mitteilung, -en
microwave;Mikrowelle
middle - (in the middle);Mitte - (in der Mitte)
milk;Milch
minced meat, ground meat;Hackfleisch
minute;Minute
mistake, error;Fehler
MM = monthly rent;MM = die Monatsmiete, -n
Mmm, that tastes good, did you make it yourself?;Mmh, das schmeckt gut, haben Sie das selbst gemacht?
mobile internet;mobiles Internet
modern;modern
moment;Moment
Monday;Montag
money;Geld
money transfer;die Überweisung, -en
month;Monat
monthly ticket (for transport);die Monatskarte, -n
monthly ticket/card;Monatskarte
mood;Laune
mood, atmosphere;die Stimmung, Sg.
more;mehr
more expensive than relaxation;teurer als Erholung
moreover, besides;außerdem
morning;Morgen
morning (before noon);Vormittag
most (plural);die meisten
Mostly there's a lot of traffic;Meistens ist viel Verkehr
mostly, usually;meistens
mostly/usually;meistens
mother;Mutter
mother tongue/native language;Muttersprache
motor vehicle insurance;die Kfz-Versicherung, -en
motorcycle;Motorrad
mountain;Berg
mouth;Mund
move-in;Einzug
move/relocation;Umzug
moved (relocated);umgezogen
moved to Emmendingen;Emmendingen gezogen
moving box;Umzugskarton
Mr. ... How are you? (formal);Herr ... Wie geht es Ihnen?
Mrs./Ms. ...;Frau ...
much/a lot;viel
muesli/granola;Müsli
multimedia department;Multimedia-Abteilung
municipal utilities;die Stadtwerke, Pl.
municipality/community;Gemeinde
museum;das Museum, Museen
museum visit;Museumsbesuch
music;Musik
music club, music association;Musikverein
must (ich muss);muss
must learn words (absolutely);unbedingt Wörter lernen
must therefore always take the train;muss also immer den Zug nehmen
must/have to;müssen
mutual, reciprocal;gegenseitig
My child is sick;Mein Kind ist krank
my darling, my sweetheart;mein Schatz
my husband;mein Mann
My life earlier and today;Mein Leben früher und heute
My name is ...;Mein Name ist ...
My number is ...;Meine Nummer ist ...
my throat;mein Hals
my way, my route;mein Weg
My week;Meine Woche
