German,English
früher.,earlier/formerly.
heute.,today.
verheiratet.,married.
ledig.,single/unmarried.
geschieden.,divorced.
die Großstadt, -e.,the large city/metropolis.
die Kleinstadt,-e.,the small town.
(A) Gestern und heute.,Yesterday and today.
träumen.,to dream.
reden.,to talk.
mit Freunden reden.,to talk with friends.
Karten spielen.,to play cards.
Sport machen.,to do sports.
das Radio, -s.,the radio.
Radio hören.,to listen to the radio.
(B) Unterwegs.,On the way/en route.
unterwegs.,on the way.
die Postkarte, -n.,the postcard.
Liebe Claudia.,Dear Claudia.
Lieber John.,Dear John.
Liebe Grüße.,Best regards.
einschlafen.,to fall asleep.
müde.,tired.
aufwachen.,to wake up.
der Autoschlüssel, -.,the car key.
finden.,to find.
(C) Mein Leben früher und heute.,My life earlier and today.
auf dem Land leben.,to live in the country.
in der Stadt leben.,to live in the city.
am Anfang.,at the beginning.
zuerst.,first/at first.
zuletzt.,last/finally.
seit.,since.
seit wann ...?,since when ...?
wie lange ...?,how long ...?
arm.,poor.
schwer.,heavy/difficult.
das Taxiunternehmen, -.,the taxi company.
der/die Angestellte, -n/-n.,the employee (male/female).
wichtig.,important.
