German;English
wie gehts;how are you (colloquial)
mir geht es gut;I'm fine / I'm doing well
schon wieder krank;sick again
Gehst du dann immer zum Arzt;Do you always go to the doctor then?
meistens gehe;I usually go
nicht sofort;not immediately
Ich messe immer zuerst Fieber;I always take fever first
Aber manchmal;But sometimes
er will lieber Cola;he prefers to have cola
nicht gesund;not healthy
deshalb;therefore, that's why
kein Cola;no cola
Das ist am besten;That is best
lese ich ein Buch vor;I read a book aloud
das mag er gern;he likes that
schläft er meistens auch ein bisschen;he also usually sleeps a bit
Entschuldigung;Excuse me
für die Schule;for school
