German;English
zahlreich;numerous / many / countless
Zahlungsmethode, die, -n;payment method
Zeppelin, der, -e;zeppelin
Zeitgeschichte, die, Sg.;contemporary history
Zeitraum, der, “-e;period / time interval / timespan
Zeitungsmeldung, die, -en;newspaper report
Zeitzeuge/Zeitzeugin, der/die, -n/-nen;contemporary witness (eyewitness to history)
zerstören;to destroy
Zertifikat, das, -e;certificate
Zeuge/Zeugin, der/die, -n/-nen;witness
Zeugniskopie, die, -n;copy of certificate / reference copy
Ziege, die, -n;goat
ziehen;to raise / to move / to pull
Ziel, das, -e;goal / target / objective
ziemlich;quite / fairly / rather
Zigarette, die, -n;cigarette
zudem;moreover / in addition / besides
Zukunft, die, Sg.;future
Zulieferer, der, -;supplier
zunächst;first of all / initially / for now
zurechtfinden (sich);to find one's way around
zurückerinnern;to remember / to recall
zurückgehen;to decrease / to go back / to decline
zurücknehmen;to take back / to return
zurückschicken;to send back / to return
zurückzahlen;to pay back / to repay
zurzeit;currently / at present
Zusage, die, -n;acceptance / commitment / promise
Zusammenarbeit, die, Sg.;cooperation / collaboration
zusammenleben;to live together / to coexist
Zusammenleben, das, Sg.;living together / cohabitation / coexistence
zusammenziehen;to move in together
zusätzlich;additional / extra / in addition
Zuwanderer/Zuwanderin, der/die, -/-nen;immigrant
Zuwanderung, die, -en;immigration / influx
Zweijährige, der/die, -n;two-year-old (person)
zweisprachig;bilingual
