German;English
ideal;ideal
Immobilie, die, -n;real estate, property
impfen;to vaccinate
Industriemechaniker/in, der/die, -/-nen;industrial mechanic
Informatiklehrer/in, der/die, -/-nen;computer science teacher
Information, die, -en;information
informieren (sich) (über);to inform oneself (about), to get information (on)
Initiativbewerbung, die, -en;unsolicited application, speculative application
Innenstadt, die, -¨e;city center, downtown
Insel, die, -n;island
installieren;to install
Institution, die, -en;institution
intelligent;intelligent
Interesse, das, -n;interest
interessieren;to interest
interessieren (sich) (für);to be interested (in)
interkulturell;intercultural
international;international
Internetseite, die, -n;website
Internetzugang, der, -¨e;internet access
IT-Mitarbeiter/in, der/die, -/-nen;IT employee
