German,English
Babyhose.,baby pants.
Babywäsche.,baby laundry/baby clothes.
backen.,to bake.
Bäcker.,baker.
Bäckerei.,bakery.
Bad.,bath/bathroom.
Bademantel.,bathrobe.
Bahncard.,train discount card.
Bahnhof.,train station.
bald.,soon.
Balkon.,balcony.
Banane.,banana.
Bank.,bank.
Bank.,bench.
Bankkaufmann/Bankkauffrau.,bank clerk (male/female).
Bankkaufleute.,banking professionals.
Bankverbindung.,bank account details.
Basketballverein.,basketball club.
Bauch.,belly/stomach.
Bauchschmerzen.,stomach ache.
Bauernhof.,farm.
Baum.,tree.
Baustelle.,construction site.
beantragen.,to apply for.
bearbeiten.,to process/edit.
Becher.,cup/beaker.
bedeuten.,to mean.
bediennen.,(likely typo) to operate/serve.
Behörde.,authority/office.
bei.,at/near.
beide.,both.
Bein.,leg.
Beispiel (zum Beispiel).,example (for example).
bekommen.,to get/receive.
beliebt.,popular.
benutzen.,to use.
bequem.,comfortable.
beraten.,to advise/consult.
Berg.,mountain.
Beruf.,profession/occupation.
Berufsberatun.,(likely typo) career counseling.
berufstätig.,employed/working.
besichtigen.,to visit/inspect.
besser.,better.
bestellen.,to order.
bestimmt.,certain/certainly.
Besuch.,visit.
besuchen.,to visit.
Betreff.,subject/reference.
betreuen.,to supervise/care for.
Bett.,bed.
bewölkt.,cloudy.
bezahlen.,to pay.
Bibliothek.,library.
Bier.,beer.
Bild.,picture/image.
billig.,cheap.
Birne.,pear/light bulb.
bisschen.,a little/bit.
bitte.,please.
Bitte.,request/you're welcome.
blau.,blue.
bleiben.,to stay/remain.
Bleistift.,pencil.
Blinddarmentzündung.,appendicitis.
blinken.,to blink/flash.
Blume.,flower.
Bluse.,blouse.
Bonus.,bonus.
Boni.,bonuses.
Bonusheft.,bonus booklet.
Boutique.,boutique.
brauchen.,to need.
braun.,brown.
Briefträger.,mail carrier.
Brille.,glasses.
bringen.,to bring.
Brot.,bread.
Brötchen.,roll/bun.
Brücke.,bridge.
Brunner.,(likely typo) well/spring/fountain.
Bruder.,brother.
Buch.,book.
Buchhalter.,accountant.
Buchstabe.,letter (alphabet).
buchstabieren.,to spell.
Bundesagentur für Arbeit.,Federal Employment Agency.
Bürgeramt.,citizens' office.
Bürgersteig.,sidewalk/pavement.
Bürg.,(likely incomplete) citizen.
Bus.,bus.
Busreise.,bus trip.
Butter.,butter.
