German;English
Lage;location/situation
Lampe;lamp
Land;country/land
Landschaft;landscape/scenery
lang - Ich meine den langen Rock;long - I mean the long skirt
lange - Ich bin schon lange hier;long (time) - I've been here for a long time
langsam;slow/slowly
langweilig;boring
Laptop;laptop
laufen;to run/walk
Laune;mood
laut;loud
leben;to live
Leben;life
Lebensmittel;groceries/food
ledig;single/unmarried
Lehrer;teacher
leidtun;to be sorry/feel sorry for
leider;unfortunately
lernen;to learn
lesen;to read
Leute;people
Licht;light
Liebe Claudia/Lieber John;Dear Claudia/Dear John
lieben;to love
Lieblingsfarbe;favorite color
liegen;to lie/be located
lila;purple/lilac
Linie;line
links;left/on the left
Liter;liter
Lkw;truck (lastkraftwagen)
losfahren;to depart/set off
Lust haben;to feel like/want to
