German;English
Sachbearbeiter;case worker/clerk
Sache;thing/matter
Sachertorte;Sachertorte (chocolate cake)
Saft;juice
sagen;to say/tell
Sahne;cream
Salami;salami
Salat;salad/lettuce
Salz;salt
Samstag;Saturday
Samstagabend;Saturday evening
Sandkasten;sandbox
S-Bahn;suburban train/commuter rail
Schach;chess
Schachspiel;chess game
Scharlach;scarlet fever
schauen;to look/watch
Schaukel;swing
Scheibe;slice/pane
scheinen;to seem/shine
Schichtdienst;shift work
schick;chic/elegant
schicken;to send
Schiff;ship
Schild;sign/shield
Schinken;ham
schlafen;to sleep
Schlafzimmer;bedroom
schlecht;bad
Schloss;castle/lock
Schlüssel;key
schmecken;to taste
schmutzig;dirty
Schnee;snow
schneien;to snow
schnell;fast/quick
Schnupfen;cold/runny nose
Schokolade;chocolate
schon;already
schön;beautiful/nice
Schrank;cupboard/wardrobe
schreiben;to write
Schuh;shoe
Schule;school
Schüler;student/pupil
Schulkantine;school cafeteria
schwarz;black
schwer;heavy/difficult
Schwester;sister
Schwimmbad;swimming pool
schwimmen;to swim
Secondhandladen;second-hand store/thrift shop
See;lake/sea
sehen;to see
Sehenswürdikeit;(likely typo) sight/attraction (Sehenswürdigkeit)
sehr;very
Seht geehhrte Frau / Sehr gehrter Herr ...;(likely typo) Dear Mrs. / Dear Mr. ...
sein;to be
seit;since
Seite;page/side
Sekretärin;secretary
selbst;self/oneself
selten;rare/seldom
September;September
Sessel;armchair
Situation;situation
sitzen;to sit
Smartphone;smartphone
so;so/thus
Socke;sock
Sofa;sofa/couch
sofort;immediately
Sohn;son
sollen;should/ought to
Sommer;summer
Sommerschlussverkauf;summer sale
Sonderangebot;special offer
Sonne;sun
Sonnenschein;sunshine
Sonnenstunde;sun hour
sonnig;sunny
Sonntag;Sunday
Sonntagnachmittag;Sunday afternoon
Spaghetti;spaghetti
Spanisch;Spanish
Spaß;fun
spät;late
später;later
spazieren gehen;to go for a walk
Spezialität;specialty
spielen ;to play
Spielplatz;playground
Sport;sport
Sportschuh;sports shoe
Sportwaren;sports goods
Sprache;language
Sprachproblem;language problem
Sprachschule;language school
sprechen ;to speak
Sprechzeiten;office hours/consultation hours
Sprechzimmer;consultation room
Spüle;sink
Spülmaschine;dishwasher
Staatsangehörigkeit;nationality/citizenship
Stadt;city/town
Stadtbummel;city stroll/shopping trip
Städtetour;city tour
Stadtmitte;city center
Stadtreinigung;city cleaning/public sanitation
Stadtrundfahrt;city tour
Standesamt;registry office
starten ;to start
Station;station
stattfinden;to take place
stehen ;to stand
Stelle;place/position
stellen;to place/put
stellen: einen Antrag stellen Stift;to place: to submit an application pen
Stock;floor/story/stick
Stockwerke;floors/stories
stören ;to disturb/bother
Strand;beach
Straße;street
Straßenbahn;tram/streetcar
Straßenfest;street festival
streiten ;to argue/fight
stressig;stressful
Stück;piece
Student;university student
studieren;to study (at university)
Stuhl;chair
Stunde;hour
suchen;to search/look for
Süden;south
super;super/great
Supermarkt;supermarket
Suppe;soup
stufen;(likely typo) steps/levels
süß;sweet/cute
Sweatshirt;sweatshirt
