English;German
to gain experience;Erfahrungen machen
to gain weight;zunehmen
garage;Garage
garbage bin;Mülltonne
the garbage bin;die Mülltonne, -n
the garbage collection (singular);die Müllabfuhr, Sg
the garbage/trash (singular);der Müll, Sg
garden;Garten
gas station;Tankstelle
general practitioner's office;Hausarztpraxis
geriatric nurse (male);Altenpfleger
German;Deutsch
German course;Deutschkurs
German railway discount card ;BahnCard
to get dressed/pull;anziehen
to get good things cheaply;gute Sachen billig bekommen
to get involved, to commit oneself;sich engagieren
to get married;heiraten
get on/off (ich steige);steige
to get to know each other;sich kennenlernen
to get to know, to meet (people);kennenlernen
to get up, gets up, has gotten up;aufstehen, steht auf, ist aufgestanden
to get up, stand up;aufstehen
Get well soon!;Gute Besserung!
to get/fetch;holen
to get/receive, gets, has gotten;bekommen, bekommt, hat bekommen
gift articles;Geschenkartikel
gift voucher, coupon;der Gutschein, -e
gift, present;das Geschenk, -e
the girl;das Mädchen, -
to give - there is/are;geben - es gibt
to give (as a gift);schenken
to give, gives, has given;geben, gibt, hat gegeben
gladly, with pleasure;Gern
gladly/willingly, with pleasure;gerne
the glass, glasses;das Glas, -er
the glasses (eyewear);die Brille
the glasses, pairs of glasses;die Brille, -n
to go;gehen
to go - How are you?;gehen - Wie geht es Ihnen?
to go - She leaves the house;gehen - Sie geht aus dem Haus
to go - The course goes until 12 o'clock;gehen - Der Kurs geht bis 12 Uhr
to go - The light doesn't work;gehen - Das Licht geht nicht
to go - Yes, that works;gehen - Ja, das geht
go (ich gehe);gehe
to go for a little walk in the park;bisschen im Park spazieren gehen
to go for a walk;spazieren gehen
to go on foot/walk;zu Fuß gehen
to go out, goes out, has gone out;ausgehen, geht aus, ist ausgegangen
to go shopping;einkaufen gehen
to go swimming;schwimmen gehen
to go to sleep early;früh schlafen
to go, have gone;gehen, sind gegangen
to go, I have gone;gehen, ich bin gegangen
to go/walk, goes, has gone;gehen, geht, ist gegangen
good;gut
Good day, how are you?;Guten Tag, wie geht es Ihnen?
Good day/Hello;Guten Tag
Good evening;Guten Abend
good for one's health;gut für die Gesundheit
good grades;gute Noten
good idea;gute Idee
Good morning;Guten Morgen
good opportunity;gute Chance
good team player, able to work in a team;teamfähig
good value/affordable;preiswert
Goodbye (formal);Auf Wiedersehen
Goodbye (on the phone);auf Wiederhören
got married;habe geheiratet
grade, mark;die Note, -n
the gram;das Gramm, Sg
grammar school, high school (academic track);das Gymnasium, Gymnasien
grandchild;Enkelkind
grandchildren live completely differently;Enkelkinder leben ganz anders
grandfather;Großvater
grandfather was a doctor;Großvater war Arzt
grandmother;Großmutter
grandparents;Großeltern
grandson;Enkel
graphic designer;Grafiker
gray;grau
great experience;tolles Erlebnis
great holiday apartment;tolle Ferienwohnung
great, awesome;toll
great, fantastic;Toll
great/class;klasse
great/excellent;prima
Greek;Griechisch
green;grün
to greet, to welcome;begrüßen
the greeting;der Gruß, -e
the grill;der Grill, -s
groceries, foodstuffs;die Lebensmittel
groceries/food;Lebensmittel
the groceries/food;die Lebensmittel, Pl
groom;der Bräutigam, -e
ground floor;Erdgeschoss
ground meat/mince;Hackfleisch
to grow;wachsen
guarantee certificate, warranty card;der Garantieschein, -e
guarantee, warranty;die Garantie, Sg.
guest;Gast
guesthouse/pension;Pension
gymnastics;Gymnastik
gymnastics club;der Turnverein, -e
