English;German
to be fat, overweight;dick sein
to be friends;befreundet sein
to fall;fallen
to fall in love;sich verlieben
fat;das Fett, -e
favorite subject;das Lieblingsfach, -er
the feature film, feature films;der Spielfilm, -e
fee, charge;die Gebühr, -en
to feel;sich fühlen
to feel comfortable;sich wohlfühlen
the file, files;die Datei, -en
final examination;die Abschlussprüfung, -en
finally/at last;endlich
to finance;finanzieren
fine sand;feiner Sand
fine, penalty;die Strafe, -n
fireworks;das Feuerwerk, -e
fitness center;das Fitnesscenter, -
fitted kitchen;die Einbauküche, -n
flexible;flexibel
flight;der Flug, -¨e
flight ticket;das Flugticket, -s
floor, ground;der Boden, -
flowers bloom;Blumen blühen
folder, binder;der Ordner, -
football (soccer) club;der Fußballverein, -e
for it/in favor;dafür
foreign language;die Fremdsprache, -n
fork;die Gabel, -n
free of charge;kostenlos
frequent/frequently;häufig
friendly;freundlich
friendship;die Freundschaft, -en
friendship society;der Freundschaftsverein, -e
funny/amusing;lustig
further education, continuing education;die Weiterbildung, -en
further training, professional development;die Fortbildung, -en
