German;English
älter;older
Sie ist älter als ihr Bruder.;She is older than her brother.
besser;better
Dein Deutsch wird besser.;Your German is getting better.
doppelt so viel;twice as much
Das kostet doppelt so viel.;That costs twice as much.
ebenso;equally / likewise
Er ist ebenso alt wie ich.;He is equally old as me.
einige;some / several
Einige Leute sind schon da.;Some people are already there.
genauso;just as / exactly as
Das ist genauso gut.;That is just as good.
größer;bigger / larger
Mein Haus ist größer als deins.;My house is bigger than yours.
halb so viel;half as much
Ich habe halb so viel Geld.;I have half as much money.
höher;higher
Die Preise werden höher.;The prices are getting higher.
jünger;younger
Mein Chef ist jünger als ich.;My boss is younger than me.
kleiner;smaller
Das ist kleiner als erwartet.;That is smaller than expected.
langsamer;slower
Bitte sprich langsamer.;Please speak slower.
mehr;more
Ich brauche mehr Zeit.;I need more time.
mehrere;several
Ich habe mehrere Bücher gelesen.;I have read several books.
sämtliche;all / all of
Sämtliche Tickets sind verkauft.;All tickets are sold.
schlechter;worse
Das Wetter wird schlechter.;The weather is getting worse.
schneller;faster
Der Zug fährt schneller als das Auto.;The train goes faster than the car.
tiefer;deeper / lower
Der See ist tiefer als gedacht.;The lake is deeper than thought.
viele;many
Viele Menschen leben hier.;Many people live here.
wenige;few
Nur wenige haben bestanden.;Only few passed.
weniger;less
Du solltest weniger Zucker essen.;You should eat less sugar.
zahlreiche;numerous
Es gibt zahlreiche Möglichkeiten.;There are numerous possibilities.
