English;German
baby diaper;Babywindel, die, -n
back exercise / back training;Rückengymnastik, die, Sg.
baked goods;Backwaren, Pl.
banana peel;Bananenschale, die, -n
barely / hardly / scarcely;kaum
Basic Law (German constitution);Grundgesetz, das, Sg.
basis / foundation;Basis, die, Sg.
basketball;Basketball, der, -“e
battery;Batterie, die, -n
beach vacation / seaside holiday;Strandurlaub, der, -e
because / since / as;da (Konj.)
because of / due to / on account of;wegen
before;bevor
beginning / start;Beginn, der, Sg.
bilingual;zweisprachig
biogas plant;Biogasanlage, die, -n
bird;Vogel, der, “-
birthday gift / birthday present;Geburtstagsgeschenk, das, -e
birthday party / birthday celebration;Geburtstagsfeier, die, -n
birthday wish;Geburtstagswunsch, der, “-e
birthday wishes;Geburtstagswünsche
blazer;Blazer, der, -
bookstore;Buchhandlung, die, -en
bored;gelangweilt
both ... and;sowohl ... als auch
brake;Bremse, die, -n
branch / subsidiary / office;Niederlassung, die, -en
brave / courageous;mutig
breakfast roll;Frühstücksbrötchen, das, -
breakfast service;Frühstücksservice, der, -e
brother-in-law;Schwager, der, -
building cleaning company;Gebäudereinigungs-Unternehmen, das, -
bulky waste / bulky trash;Sperrmüll, der, Sg.
bunny / little hare;Häschen, das, -
bus connection / bus service;Busverbindung, die, -en
bus ticket;Busfahrkarte, die, -n
business / trade / commercial enterprise;Gewerbe, das, -
business idea;Geschäftsidee, die, -n
business plan;Businessplan, der, “-e
business premises / office space;Geschäftsraum, der, “-e
business startup / founding a company;Existenzgründung, die, -en
but rather / instead;sondern
by the way / incidentally;übrigens
