German;English
abwärts;downwards
Die Aktie geht abwärts.;The stock is going downwards.
aufwärts;upwards
Der Preis geht aufwärts.;The price is going upwards.
außen;outside
Außen ist es kalt.;Outside it is cold.
daneben;next to it
Das Haus steht daneben.;The house stands next to it.
dazwischen;in between
Ich habe mich dazwischengesetzt.;I sat down in between.
drinnen;inside
Bleib drinnen, es regnet.;Stay inside, it's raining.
draußen;outside
Die Kinder spielen draußen.;The children are playing outside.
gegenüber;opposite
Das Café ist gegenüber.;The café is opposite.
geradeaus;straight ahead
Fahren Sie geradeaus.;Drive straight ahead.
herüber;over (towards speaker)
Komm herüber zu mir.;Come over to me.
herein;in (towards speaker)
Komm herein!;Come in!
hervor;out / forth (towards speaker)
Der Mond kam hervor.;The moon emerged.
heraus;out (towards speaker)
Komm aus dem Haus heraus.;Come out of the house.
hinein;into (away from speaker)
Geh ins Haus hinein.;Go into the house.
hinauf;up (away from speaker)
Er geht die Treppe hinauf.;He goes up the stairs.
hinaus;out (away from speaker)
Er geht hinaus.;He goes out.
hinter;to the back
Geh nach hinten.;Go to the back.
hinüber;over (to the other side)
Komm auf die andere Seite hinüber.;Come over to the other side.
hinunter;down (away from speaker)
Fahr den Berg hinunter.;Drive down the mountain.
innen;inside
Innen ist es schön.;Inside it is nice.
links;to the left
Biegen Sie links ab.;Turn left.
mitten;in the middle
Er steht mitten im Raum.;He stands in the middle of the room.
nebenan;next door
Er wohnt nebenan.;He lives next door.
nordwärts;northwards
Wir fahren nordwärts.;We are driving northwards.
oben;above / up
Oben ist es warm.;Upstairs it is warm.
oberhalb;above
Oberhalb der Wolken ist die Sonne.;Above the clouds is the sun.
ostwärts;eastwards
Der Weg geht ostwärts.;The path goes eastwards.
rechts;to the right
Gehen Sie rechts.;Go right.
rückwärts;backwards
Er ging rückwärts.;He walked backwards.
seitwärts;sideways
Tritt seitwärts aus.;Step to the side.
südwärts;southwards
Der Zug fährt südwärts.;The train goes southwards.
unterhalb;below
Unterhalb der Brücke fließt ein Fluss.;Below the bridge flows a river.
unten;below / down
Unten ist kalt.;Downstairs it is cold.
vorne;in front
Setz dich vorne.;Sit in front.
vorwärts;forwards
Mach einen Schritt vorwärts.;Take a step forward.
westwärts;westwards
Sie reisten westwärts.;They traveled westwards.
