German;English
U-Bahn;subway/underground
U-Bahn-Station;subway station
über;over/about
überhaupt (nicht);at all (not at all)
übermorgen;day after tomorrow
übernachten;to stay overnight
Übernachtung;overnight stay
überweisen;to transfer (money)
Überweisung;transfer/bank transfer
Überweisungsformular;transfer form
Uhr;clock/watch/o'clock
um - um neun Uhr ;at - at nine o'clock
um - um die Ecke fahren ;around - to drive around the corner
Umkleidekabine;changing room/dressing room
umisteigen;(likely typo) to change (transport) (umsteigen)
umiziehen;(likely typo) to move house/relocate (umziehen)
Umzug;move/relocation
Umzugskarton;moving box
unbequem;uncomfortable
und;and
Unfall;accident
ungefähr;approximately/about
unordentlich;untidy/messy
unten;below/downstairs
unter;under/below
Unterricht;lesson/class/instruction
Unterschied;difference
unterschreiben;to sign
Unterschrift;signature
unterstützen;to support
untersuchen;to examine/investigate
Unterwäsche;underwear
unterwegs;on the way/en route
Urlaub;vacation/holiday
USB-Stick;USB stick/flash drive
