German;English
kann;I can
kannst;you can (singular informal)
kann;he/she/it can
können;we can
könnt;you can (plural informal)
können;they / you (formal) can
muss;I must
musst;you must (singular informal)
muss;he/she/it must
müssen;we must
müsst;you must (plural informal)
müssen;they / you (formal) must
darf;I may / I am allowed to
darfst;you may (singular informal)
darf;he/she/it may
dürfen;we may
dürft;you may (plural informal)
dürfen;they / you (formal) may
will;I want
willst;you want (singular informal)
will;he/she/it wants
wollen;we want
wollt;you want (plural informal)
wollen;they / you (formal) want
soll;I should
sollst;you should (singular informal)
soll;he/she/it should
sollen;we should
sollt;you should (plural informal)
sollen;they / you (formal) should
möchte;I would like
möchtest;you would like (singular informal)
möchte;he/she/it would like
möchten;we would like
möchtet;you would like (plural informal)
möchten;they / you (formal) would like
mag;I like
magst;you like (singular informal)
mag;he/she/it likes
mögen;we like
mögt;you like (plural informal)
mögen;they / you (formal) like
brauche;I need
brauchst;you need (singular informal)
braucht;he/she/it needs
brauchen;we need
braucht;you need (plural informal)
brauchen;they / you (formal) need
