German;English
Durst;thirst
Tut mir leid;I'm sorry
Saft ist alle;Juice is all gone / out of juice
nett;nice
oft;often
Nähe;vicinity, closeness
wirklich praktisch;really practical
Übrigens;by the way
Dort hinten;over there
jeden Tag;every day
wieder;again
mein Mann;my husband
Geschäft;shop, business
Vielleicht suche;maybe I'm looking for
sicher gut;certainly good
anderen;other, others
Wissen;knowledge; (verb: to know - plural/formal)
draußen;outside
wenig;little, not much
nächste Woche;next week
