German;English
wachsen;to grow / to increase
waschen;to wash
wegfahren;to drive away / to leave
weggehen;to go away / to leave
wehtun;to hurt / to cause pain
weiterempfehlen;to recommend / to pass on recommendation
weitergehen;to continue / to go on
weiterkommen;to make progress / to get ahead
werden;to become / to get / will (future auxiliary)
werfen;to throw
widerrufen;to revoke / to cancel / to withdraw
wiedersehen;to see again / to meet again
wissen;to know (a fact)
wohltun;to do good / to be good for / to feel good
wollen;to want / to intend / to wish
