German;English
Impfschutz, der, Sg.;vaccination protection / immunity
Impfung, die, -en;vaccination
Industrie, die, -n;industry
Industriegebiet, das, -e;industrial area
Industriemechaniker/in, der/die, -/-nen;industrial mechanic
Influenza, die, Influenza;influenza / flu
Infoblatt, das, “-er;information sheet / handout
Inhaber/in, der/die, -/-nen;owner / holder
Initiative, die, -n;initiative
innerhalb;within / inside
Inselstaat, der, -en;island state / island nation
insgesamt;overall / altogether / in total
Institut, das, -e;institute
Instrument, das, -e;instrument
Integration, die, Sg.;integration
Integrationsangebot, das, -e;integration program / integration offering
Integrationskurs, der, -e;integration course
Internet-Einkauf, der, “-e;internet purchase
Internet-Nutzer/in, der/die, -/-nen;internet user
investieren;to invest
inzwischen;meanwhile / in the meantime / by now
