English;German
to the airport;zum Flughafen
to Berlin/home;nach: nach Berlin/nach Hause
to the bus station;zum Busbahnhof
to the department stores;in die Kaufhäuser
to the harbor/port;zum Hafen
to the left;nach links
to Potsdam;nach - nach Potsdam
to the right;nach rechts
to serve;zu. bedienen
to the stop (bus/tram);zur Haltestelle
to the subway station;zur U-Bahnstation
the T-shirt;das T-Shirt, -s
the table;der Tisch
the table is;Tisch ist
the table, tables;der Tisch, -e
the tablet;das Tablet
tablet (computer/medicine);Tablet
tablet, pill;die Tablette
the tablets, pills;die Tabletten
to take;nehmen
take (ich nehme);nehme
to take (medicine);einnehmen
to take a blood sample;Blut abnehmen
to take a pill;Tablette nehmen
to take a seat;Platz nehmen
to take a waiting number / ticket;Wartenummer ziehen
to take along;mitnehmen
to take along, takes along, has taken along;mitnehmen, nimmt mit, hat mitgenommen
to take care of, to look after;kümmern (sich)
take it;nimm es
to take photographs;fotografieren
to take place;stattfinden
to take place, takes place, has taken place;stattfinden, findet statt, hat stattgefunden
to take tablets/pills;Tabletten nehmen
Take you (formal), You take;Nehmen Sie
to take, takes, has taken;nehmen, nimmt, hat genommen
to talk;reden
to talk on the phone (with);telefonieren (mit)
the talk show, talk shows;die Talkshow, -s
to talk with friends;mit Freunden reden
to talk, to speak;reden
to talk/speak;reden
task;Aufgabe
to taste;schmecken
tastes good;schmeckt gut
taxi company;Taxiunternehmen
the taxi company;das Taxiunternehmen, -
taxi driver;Taxifahrer
the taxi driver (female);die Taxifahrerin
taxi driver (male);Taxifahrer
the taxi driver (male/female);der/die Taxifahrer/in, -/-nen
the tea;der Tee, Sg
Tea, Meat, Wine, Water;Tee, Fleisch, Wein, Wasser
teacher;Lehrer
teacher (female);Lehrerin
the team;das Team, -s
teamwork;die Teamarbeit, Sg.
technical service;der technische Service
technology, technical department;die Technik, Sg.
telephone call;der Anruf, -e
telephone number;Telefonnummer
the telephone number, telephone numbers;die Telefonnummer, -n
to telephone/call;telefonieren
television;Fernseher
the television (singular);das Fernsehen, Sg.
Television and radio;Fernsehen und Radio
television set;Fernseher
the television, televisions;der Fernseher, -
to tell (a story);erzählen
tell me, tell us;erzähl mal
to tell, to narrate;erzählen
temperature;Temperatur
temporary employment agency;die Zeitarbeitsfirma, -firmen
temporary help, assistant;die Aushilfe, -n
ten past;zehn nach
ten square meters;zehn Quadratmeter
ten to;zehn vor
tenancy agreement, rental contract;Mietvertrag
the tenancy agreement, rental contract;der Mietvertrag
tenant;Mieter
tenants in the stairwell;Mietern im Treppenhaus
tent;das Zelt, -e
terminal/end station;Endstation
terrace, patio;Terrasse
terraced house/row house;Reihenhouse
terrible;schrecklich
terrible, awful;furchtbar
text;Text
Thai;Thailändisch
than (comparative);als (Komparativ)
to thank;danken
thank you;danke
Thank you very much;Vielen Dank
Thank you very much!;Herzlichen Dank!
thanks (thank you very much);Dank (Vielen Dank)
that;das
that (conjunction);dass
That comes to 20 euros.;Das macht 20€.
That is ...;Das ist ...
That is best;Das ist am besten
that is better than too much;das ist besser als zu viel
that is here / she is here;die ist hier
that means every day;das heißt jeden Tag
that takes a long time;lange dauert das
that was strenuous, tiring;das war anstrengend
that works;das geht
that's correct / that's true;das stimmt
That's fun;Das macht Spaß
that's great / is indeed great;ist ja toll
That's nice;Das ist nett
That's not possible;Das geht nicht
that's not possible here / you can't do that here;das geht hier nicht
that's why I order;Deshalb bestelle
theater group;die Theatergruppe, -n
then;dann
then I am also healthy;dann bin ich auch gesund
then right again;dann wieder rechts
Then you see;Dann siehst
theoretical;theoretisch
there;dort
there I sell;Da verkaufe
There is / There are;Es gibt
There is also the harbor / port;Es gibt auch noch den Hafen
there is no train station where we are;bei uns gibt es keinen Bahnhof
There is running / playing;Da läuft
there is, there are;da ist, da sind
there is/are;es gibt
to there, thither;dorthin
there/since;da
therefore, that's why;deshalb
therefore/that's why;deshalb
they get old and still stay healthy;sie werden alt und bleiben doch gesund
they probably want / definitely want;wollen bestimmt
they say;sagt man
they take a boat trip first;sie machen zuerst eine Schifffahrt
They visit (sights) / they tour;Sie besichtigen
thing (above all/especially);Ding (vor allen Dingen)
thing/matter;Sache
things, stuff;Sachen
to think;denken
think (ich denke = I think);denke
to think (of, about);denken (an)
the thirst;der Durst, Sg
thirst;Durst
this (masculine/neuter);dieser, -e, -es
this is (speaking) / here speaks;hier spricht
Those please me / I like those;Die gefallen mir
thought;der Gedanke, -n
three times per week;dreimal pro Woche
throat lozenge;Halstablette
through/by;durch
to throw rice;Reis werfen
thunderstorm;das Gewitter, -
Thursday;Donnerstag
ticket;Fahrkarte
the ticket, tickets;die Fahrkarte, -n
tidied up (past participle of aufräumen);aufgeräumt
to tidy up;aufräumen
to tidy up, to clean up;aufräumen
tidy, neat;ordentlich
tie;Krawatte
tight, narrow;eng
time;Zeit
time/occasion;Mal
times/once;mal
timetable, schedule;der Stundenplan, -e
tip;das Trinkgeld, -er
the tip/hint;der Tipp, -s
tip/hint;Tipp
tired;müde
to/quarter to - quarter to seven;vor - Viertel vor sieben
today;heute
together;zusammen
Together or separately?;Zusammen oder getrennt?
together, joint;gemeinsam
together, jointly;gemeinsam
toilet, water closet;das WC, -s
the toilet/bathroom;die Toilette, -n
toilet/bathroom;Toilette
tomato;die Tomate
Tomato, Butter, Cheese, Milk;Tomate, Butter, Käse, Milch
the tomato, tomatoes;die Tomate, -n
tomorrow;morgen
ton;Tonne
too - too long;zu - zu lang
too bad / what a pity;Schade
too bad, a pity;schade
too much;zu viel
too short;zu kurz
took part once and it was indeed very boring;einmal dabei und es war doch sehr langweilig
toothache;die Zahnschmerzen, Pl
toothbrush;die Zahnbürste, -n
toothpaste;Zahnpasta
Topic;Thema
total price;Gesamtpreis
totally awful;ganz furchtbar
tour, guided walk;der Rundgang, -¨e
tourism;der Tourismus, Sg.
tourist;Tourist
towel;das Handtuch, -¨er
the town hall;das Rathaus, -er
town hall;Rathaus
