German;English
eigentlich bin ich ganz zufrieden;actually I'm quite satisfied
Mir fehlen oft Wörter oder ich vergesse sie;I often lack words or I forget them
Wörter immer wieder;words again and again
Deshalb macht mir das Lesen von Texten oft keinen Spaß;that's why I often don't enjoy reading texts
Das heißt;that means
schreibst jedes neue Wort auf eine Karte;you write each new word on a card
nach Themen;by topic
Am Anfang;at the beginning
Fehlern beim Sprechen;mistakes when speaking
lieber gar nicht gesprochen;preferred not to speak at all
jetzt spreche ich einfach;now I just speak
nur durch Üben korrigieren, das heißt man muss viel sprechen;only correct by practicing, that means you have to speak a lot
