German;English
verbringen;to spend (time) / to stay
vergessen;to forget
vergleichen;to compare
verlassen;to leave / to abandon / to depart
verlieren;to lose / to misplace
vermeiden;to avoid
verschieben;to postpone / to shift / to move
verschreiben;to prescribe (medicine) / to make a writing mistake
verschwinden;to disappear / to vanish
versinken;to sink / to be submerged / to be absorbed
verstehen;to understand / to comprehend
vertreten;to represent / to act on behalf of
vorbeikommen;to come by / to visit / to pass by
vorlesen;to read aloud
vorschlagen;to suggest / to propose / to recommend
vorschreiben;to prescribe / to dictate / to require
