German;English
Mail, die, -s;email
Malerfirma, die, -firmen;painting company
Marketingabteilung, die, -en;marketing department
Markt, der, “-e;market
Marmeladenglas, das, “-er;jam jar
Maschinenbauingenieur, der/die, -/-nen;mechanical engineer
materiell;material / physical / financial
Matratze, die, -n;mattress
Mechaniker/in, der/die, -/-nen;mechanic
Mechatroniker/in, der/die, -/-nen;mechatronics technician
Medienwelt, die, Sg.;media world
medizinisch;medical / medicinal
Meeresspiegel, der, -;sea level
Mehrheit, die, -en;majority / most
mehrmals;several times / repeatedly
mehrsprachig;multilingual
Meinungsverschiedenheit, die, -en;disagreement / difference of opinion
melden (sich);to report (oneself) / to get in touch
Meldung, die, -en;report / message / announcement
Menge, die, -n;quantity / amount / crowd
Migrant/in, der/die, -en/-nen;migrant / immigrant
Migrationshintergrund, der, Sg.;migrant background / immigration background
minderjährig;underage / minor
Minister/in, der/die, -/-nen;minister
Mitfahrgelegenheit, die, -en;carpool / ride-sharing opportunity
Mobilität, die, Sg.;mobility
Moderator/in, der/die, -en/-nen;host / presenter
möglichst;as ... as possible / preferably
momentan;current / at the moment / temporarily
Motor, der, -en;engine / motor
Motorhaube, die, -n;hood / bonnet (of a car)
Motorradfahrer/in, der/die, -/-nen;motorcyclist
mühevoll;laborious / arduous / painstaking
Müllentsorgung, die, Sg.;waste disposal
Müllregel, die, -n;waste regulation / garbage rule
Mülltrennung, die, Sg.;waste separation / recycling sorting
munter;cheerful / lively / awake
Musical, das, -s;musical
Musicaldarsteller/in, der/die, -/-nen;musical performer
Musik-CD, die, -s;music CD
Musikband, die, -s;music band
Musiker/in, der/die, -/-nen;musician
Musiklehrer/in, der/die, -/-nen;music teacher
Musikpreis, der, -e;music award
Musikvereinigung, die, -en;music association
Muskelschmerz, der, -en;muscle pain
Mutterschutz, der, Sg.;maternity protection / maternity leave
Mutterschutzgesetz, das, -e;maternity protection law
mutig;brave / courageous
