English;German
the e-book, e-books;das E-Book, -s
earring;der Ohrring, -e
easy;leicht
to eat, to nourish oneself (focus on diet);sich ernähren
educator, childcare worker;der/die Erzieher/in, -/-nen
the email program, email programs;das E-Mail-Programm, -e
the email, emails;die E-Mail, -s
emergency call center;die Notrufzentrale, -n
emergency telephone (on motorway);die Notrufsäule, -n
employee, staff member;der/die Mitarbeiter/in, -/-nen
employment contract;der Arbeitsvertrag, -¨e
encounter, meeting;die Begegnung, -en
to end/quit;beenden
event;die Veranstaltung, -en
everywhere;überall
exam, test;die Prüfung, -en
exchange;der Austausch, Sg.
to exchange rings;Ringe tauschen
exciting/thrilling;spannend
excursion destination, day-trip destination;das Ausflugsziel, -e
the exercise/practice, exercises;die Übung, -en
exhausted;erschöpft
to experience;erleben
experience, event;das Erlebnis, -se
