German;English
achten auf;to pay attention to
Ich achte auf die Kinder.;I pay attention to the children.
antworten auf;to answer to / reply to
Er antwortet auf meine Frage.;He answers my question.
arbeiten an;to work on
Sie arbeitet an einem Projekt.;She is working on a project.
ärgern über;to be annoyed about
Ich ärgere mich über das Wetter.;I am annoyed about the weather.
aufpassen auf;to look after / watch
Pass auf deinen Bruder auf.;Look after your brother.
bestehen aus;to consist of
Das Team besteht aus fünf Leuten.;The team consists of five people.
bestehen auf;to insist on
Er besteht auf seinem Recht.;He insists on his right.
bitten um;to ask for / request
Ich bitte um Verständnis.;I ask for understanding.
danken für;to thank for
Ich danke dir für deine Hilfe.;I thank you for your help.
denken an;to think of / about
Ich denke an dich.;I am thinking of you.
diskutieren über;to discuss about
Wir diskutieren über Politik.;We are discussing politics.
einladen zu;to invite to
Ich lade dich zum Essen ein.;I invite you to dinner.
erinnern an;to remind of / remember
Das erinnert mich an zu Hause.;That reminds me of home.
fragen nach;to ask for / inquire about
Er fragt nach dem Weg.;He asks for the way.
freuen auf;to look forward to
Ich freue mich auf das Wochenende.;I look forward to the weekend.
freuen über;to be happy about
Ich freue mich über deinen Besuch.;I am happy about your visit.
führen zu;to lead to
Das führt zu Problemen.;That leads to problems.
geben zu;to admit / give to
Er gibt den Fehler zu.;He admits the mistake.
gehen um;to be about
Es geht um eine wichtige Frage.;It is about an important question.
gehören zu;to belong to
Das gehört zu meiner Familie.;That belongs to my family.
glauben an;to believe in
Ich glaube an Gott.;I believe in God.
halten für;to take for / consider
Ich halte ihn für einen Freund.;I consider him a friend.
handeln von;to be about (a topic)
Der Film handelt von Liebe.;The movie is about love.
helfen bei;to help with
Kannst du mir bei der Arbeit helfen?;Can you help me with the work?
hoffen auf;to hope for
Wir hoffen auf gutes Wetter.;We hope for good weather.
informieren über;to inform about
Ich informiere dich über die Lage.;I inform you about the situation.
kämpfen für;to fight for
Er kämpft für die Freiheit.;He fights for freedom.
kämpfen um;to fight over
Sie kämpfen um das Geld.;They fight over the money.
kümmern um;to take care of
Ich kümmere mich um die Kinder.;I take care of the children.
lächeln über;to smile about
Sie lächelt über den Witz.;She smiles about the joke.
leben von;to live on / off
Er lebt von seinem Gehalt.;He lives on his salary.
leiden unter;to suffer from
Er leidet unter Kopfschmerzen.;He suffers from headaches.
liegen an;to be due to
Der Fehler liegt an mir.;The mistake is due to me.
nachdenken über;to think about / reflect on
Ich denke über die Zukunft nach.;I think about the future.
rechnen mit;to expect / count on
Ich rechne mit dir.;I count on you.
reden über;to talk about
Wir reden über das Wetter.;We talk about the weather.
schreiben an;to write to
Er schreibt einen Brief an seine Mutter.;He writes a letter to his mother.
schützen vor;to protect from
Die Sonnencreme schützt vor UV-Strahlen.;The sunscreen protects from UV rays.
sich ärgern über;to be annoyed about
Ich ärgere mich über die Verspätung.;I am annoyed about the delay.
sich bedanken für;to thank for
Ich bedanke mich für deine Hilfe.;I thank you for your help.
sich beklagen über;to complain about
Er beklagt sich über das Wetter.;He complains about the weather.
sich bemühen um;to strive for / take care of
Ich bemühe mich um einen Termin.;I strive for an appointment.
sich beschäftigen mit;to deal with / occupy oneself with
Er beschäftigt sich mit Kunst.;He occupies himself with art.
sich beschweren über;to complain about
Sie beschwert sich über den Lärm.;She complains about the noise.
sich bewerben um;to apply for
Ich bewerbe mich um den Job.;I apply for the job.
sich entscheiden für;to decide for
Ich entscheide mich für das rote Auto.;I decide for the red car.
sich entschuldigen für;to apologize for
Er entschuldigt sich für sein Verhalten.;He apologizes for his behavior.
sich erinnern an;to remember
Ich erinnere mich an meinen ersten Tag.;I remember my first day.
sich freuen auf;to look forward to
Ich freue mich auf die Ferien.;I look forward to the holidays.
sich freuen über;to be happy about
Ich freue mich über deinen Besuch.;I am happy about your visit.
sich gewöhnen an;to get used to
Ich gewöhne mich an die Kälte.;I get used to the cold.
sich interessieren für;to be interested in
Ich interessiere mich für Geschichte.;I am interested in history.
sich kümmern um;to take care of
Er kümmert sich um die Kinder.;He takes care of the children.
sich schämen für;to be ashamed of
Ich schäme mich für meinen Fehler.;I am ashamed of my mistake.
sich sehnen nach;to long for
Ich sehne mich nach dir.;I long for you.
sich streiten über;to argue about
Sie streiten sich über das Geld.;They argue about the money.
sich verabschieden von;to say goodbye to
Ich verabschiede mich von meinen Freunden.;I say goodbye to my friends.
sich verlassen auf;to rely on
Ich verlasse mich auf dich.;I rely on you.
sich vorbereiten auf;to prepare for
Ich bereite mich auf die Prüfung vor.;I prepare for the exam.
sich wundern über;to be surprised about
Ich wundere mich über deine Reaktion.;I am surprised about your reaction.
sorgen für;to provide for / take care of
Er sorgt für seine Familie.;He provides for his family.
sprechen mit;to speak with
Ich spreche mit dem Arzt.;I speak with the doctor.
sprechen über;to speak about
Wir sprechen über Politik.;We speak about politics.
sterben an;to die of
Er starb an Krebs.;He died of cancer.
suchen nach;to search for
Ich suche nach meinem Schlüssel.;I search for my key.
teilnehmen an;to participate in
Ich nehme am Kurs teil.;I participate in the course.
träumen von;to dream of
Ich träume von einer Reise.;I dream of a trip.
überzeugen von;to convince of
Er überzeugt mich von seiner Idee.;He convinces me of his idea.
verfügen über;to have at one's disposal
Er verfügt über viel Geld.;He has a lot of money at his disposal.
vergleichen mit;to compare with
Man darf das nicht mit der Vergangenheit vergleichen.;One should not compare that with the past.
verstehen von;to understand about
Er versteht viel von Autos.;He knows a lot about cars.
verzichten auf;to do without
Ich verzichte auf Fleisch.;I do without meat.
warten auf;to wait for
Ich warte auf den Bus.;I wait for the bus.
warnen vor;to warn about / against
Er warnt vor der Gefahr.;He warns about the danger.
weinen über;to cry about
Sie weint über den Verlust.;She cries about the loss.
wissen von;to know about
Ich weiß nichts davon.;I know nothing about it.
wohnen in;to live in
Er wohnt in Berlin.;He lives in Berlin.
zweifeln an;to doubt
Ich zweifle an seiner Ehrlichkeit.;I doubt his honesty.
