English;German
ear;Ohr
earlier, in the past;früher
earlier/formerly;früher
earlier/in the past;früher
early;früh
earring;der Ohrring, -e
east;Osten
easy;leicht
educator, childcare worker;der/die Erzieher/in, -/-nen
eggs;Eier
elderly care nurse;Altenpfleger
electrician;Elektriker
elegant;elegant
elevator;Aufzug
elevator, lift;Aufzug
email address;E-Mail-Adresse
emergency;Notfall
emergency call;Notruf
emergency call center;die Notrufzentrale, -n
emergency doctor;Notarzt
emergency service;Notdienst
emergency telephone (on motorway);die Notrufsäule, -n
employed, working;berufstätig
employed, working (in a profession);berufstätig
employed/working;berufstätig
employee;Angestellte
employee, staff member;der/die Mitarbeiter/in, -/-nen
employer;Arbeitgeber
employment agency, job center;Arbeitsagentur
employment contract;der Arbeitsvertrag, -¨e
encounter, meeting;die Begegnung, -en
end-of-season sale;Schlussverkauf
engineer;Ingenieur
English;Englisch
English course;Englischkurs
Enjoy your meal;Guten Appetit
enough;genug
entrance;Eingang
entrance, approach (e.g., of a train);Einfahrt
escalator;Rolltreppe
especially;besonders
EU citizen;EU-Bürger
EU state;EU-Staat
euro;Euro
evening;Abend
evening course;Abendkurs
evening dress;Abendkleid
event;die Veranstaltung, -en
every day;jeden Tag
everything;alles
everything different;alles anders
everything was different;war alles anders
everywhere;überall
exact/exactly;genau
exam, test;die Prüfung, -en
example (for example);Beispiel (zum Beispiel)
exchange;der Austausch, Sg.
exciting/thrilling;spannend
excursion;Ausflug
excursion destination, day-trip destination;das Ausflugsziel, -e
Excuse me;Entschuldigung
Excuse me (likely typo);Entschyldigung
Excuse me!/Sorry!;Entschuldigung!
exhausted;erschöpft
exhausting;anstrengend
exit;Ausgang
expensive;teuer
experience;Erlebnis
experience, event;das Erlebnis, -se
