English;German
daily;täglich
damage, loss;der Schaden, -¨
to dance;tanzen
dance class;Tanzkurs
dance party;Tanzparty
dangerous;gefährlich
dark;dunkel
dark red;dunkelrot
to darken the room;Zimmer dunkel machen
date of birth;Geburtsdatum
the date of birth;das Geburtsdatum, -daten
the date, dates;das Datum, Daten
daughter;Tochter
day;Tag
the day;derTag
day after tomorrow;übermorgen
the day before yesterday;vorgestern
A day in the life;Ein Tag im Leben
the day, days;der Tag, -e
daycare center;Kita
daycare center (short for Kindertagesstätte);Kita
the daycare center, daycare centers;die Kita, -s
Dear Claudia;Liebe Claudia
Dear Claudia/Dear John;Liebe Claudia/Lieber John
Dear John;Lieber John
Dear listeners;liebe Hörerinnen und Hörer
Dear Mrs., Dear Mr.;Sehr geehrte Frau, Sehr geehrter Herr
debit card;EC-Karte
the debit card;die EC-Karte, -n
debit card (German EC card);die EC-Karte, -en
December;der Dezember
definite article;bestimmten Artikel
degree;Grad
delay;Verspätung
the delay;die Verspätung -en
to delete/erase;löschen
delivery time;Lieferzeit
dental check-up;Zahnkontrolle
the dental check-up;die Zahnkontrolle -n
dental treatment;Zahnbehandlung
dentist;Zahnarzt
the dentist;der Zahnarzt, -e
the dentist (female);die Zahnärztin, -nen
dentist appointment;Zahnarzttermin
to depart;abfahren
to depart, departs, has departed;abfahren, fährt ab, ist abgefahren
to depart, to take off (flight);abfliegen
to depart/set off;losfahren
to depart/set off, departs, has departed;losfahren, fährt los, ist losgefahren
department;Abteilung
the department;die Abteilung -en
the department head/manager (male/female);der/die Abteilungsleiter/in,-/-nen
department store;Kaufhaus
the department store;das Kaufhaus, -er
department stores;Kaufhäuser
departure;Abfahrt
the departure;die Abfahrt
departure (flight);der Abflug, -¨e
departure point (for flights);der Abflugort, -e
to deposit, pay in;einzahlen
deposit, security payment;die Kaution, -en
depressive/depressed;depressiv
to deregister;abmelden
to deregister/log off;abmelden
deregistration (of a vehicle);Abmeldung
desired, requested;gewünschte
dessert;die Nachspeise, -n
device, appliance;das Gerät, -e
to dial a wrong number;sich verwählen
diarrhea;der Durchfall, Sg.
the dictionaries;die Wörterbücher
dictionary;Wörterbuch
the dictionary;das Wörterbuch
did / made;habe gemacht
did not come along;ist nicht mitgekommen
difference;Unterschied
different;anders
different/varied;unterschiedlich
difficult;schwierig
diligent and;fleißig und
diligent, hard-working;fleißig
dinner;Abendessen
the dinner;das Abendessen
dinner, supper;Abendessen
diploma;das Diplom, -e
direct line, extension number;die Durchwahl, -en
direct/directly;direkt
direction;Richtung
the direction;die Richtung, -en
directly next to;direkt neben
dirty;schmutzig
disability;die Behinderung, -en
disadvantage;der Nachteil, -e
the disadvantage;der Nachteil, -e
disadvantage/drawback;Nachteil
disappointed;enttäuscht
to discuss;besprechen
dish, meal;das Gericht, -e
dishes, crockery;das Geschirr, Sg.
dishwasher;Spülmaschine
the dishwasher, dishwashers;die Spülmaschine, -n
district, part of town;der Stadtteil, -e
to disturb/bother;stören
disturbance, fault, interference;die Störung, -en
diverse, varied;vielfältig
divorced;geschieden
to do crafts/make things;basteln
to do detention;nachsitzen
do not hang up (formal);legen Sie nicht auf
to do sports;Sport machen
to do sports, to exercise;Sport treiben
to do the housework;den Haushalt machen
to do things;Dinge tun
to do without, to go without;verzichten (auf)
do you also know;weißt du auch
Do you always go to the doctor then?;Gehst du dann immer zum Arzt
Do you have another wish? (anything else?);Haben Sie noch einen Wunsch?
Do you have any other wishes? / Anything else?;Haben Sie sonst noch einen Wunsch
Do you have exact change? (formal "Sie");Sie es passend
Do you have time?;Hast du Zeit?
Do you know? (formal);Wissen Sie
Do you like the dress? (informal);Gefällt dir das Kleid?
do you like to eat;isst du gern
Do you want;Willst du
to do/make;machen
to do/what to do;was machen
doctor;Doktor
doctor (male);Arzt
doctor (male/female);Arzt/Ärztin
doctor's appointment;der Arzttermin, -e
doctor's assistant, medical assistant;die Arzthelferin, -nen
doctor's visit;Arztbesuch
the doctor's visit;der Arztbesuch, -e
the documentary, documentaries;der Dokumentarfilm, -e
dog;Hund
the dog;der Hund, -e
dogs;Hunde
don't fit / don't match;passen nicht
don't like jogging;jogge nicht gern
door;Tür
the door;die Tür
the door, doors;die Tür, -en
doorbell;Klingel
the doorbell;die Klingel -n
double lesson (e.g., two teaching periods);die Doppelstunde, -en
to download;herunterladen
to download and fill out;herunterladen und ausfüllen
to download, downloads, has downloaded;herunterladen, lädt herunter, hat heruntergeladen
dream;der Traum, -¨e
to dream;träumen
to dream (of);träumen (von)
dress;Kleid
the dress;das Kleid, -er
to dress up, to wear a costume;sich verkleiden
to drill;bohren
drink;Getränk
to drink;trinken
the drink, drinks;das Getränk, -e
to drink, drinks, has drunk;trinken, trinkt, hat getrunken
to drink, have drunk;trinken, haben getrunken
to drink, I have drunk;trinken,ich habe getrunken
drive (ich fahre);fahre
to drive a car;mit dem Auto fahren
to drive away;wegfahren
to drive away, drives away, has driven away;wegfahren, fährt weg, ist weggefahren
to drive away/leave;wegfahren
to drive straight ahead;geradeaus fahren
to drive through the long tunnel;durch den langen Tunnel fahren
to drive, to travel, to go (by vehicle);fahren
to drive/travel;fahren
to drive/travel, drives, has driven;fahren, fährt, ist gefahren
to drive/travel, I have driven;fahren, ich bin gefahren
driver, motorist;Autofahrer
driver's license;Führerschein
The driver's license;Der Führerschein
driving test;Führerscheinprüfung
the driving test;die Führerscheinprüfung, -n
to drop off a parcel;ein Paket abgeben
drugstore;Drogerie
duration, length;die Dauer, Sg.
