German;English
Bekannten;acquaintance (dative/plural)
das Ehepaar;the married couple
Hobbys;hobbies
Stimmt das;Is that correct?
etwas viel;a bit much
beide schon sehr aktiv;both already very active
zum Beispiel;for example
dreimal pro Woche;three times per week
Frauenmannschaft Fußball;women's soccer team
Sonntagnachmittag;Sunday afternoon
tanzen beide sehr gern;both like dancing very much
langweilig;boring
Schwimmen mag ich auch nicht;I don't like swimming either
Karten;cards, tickets, maps
Musikverein;music club, music association
Außerdem;besides, furthermore
Trompete;trumpet
wirklich schöne Fotos;really nice photos
einmal dabei und es war doch sehr langweilig;took part once and it was indeed very boring
außerdem;besides, furthermore
zusammen;together
beide;both
nicht so oft;not so often
Vielleicht;maybe, perhaps
unserem Wohnort;our place of residence (dative)
immer;always
