German;English
das Medium, Medien;the medium/media, media
der Kopfhörer, -;the headphone(s), headphones
das E-Book, -s;the e-book, e-books
chatten;to chat
spannend;exciting/thrilling
entspannend;relaxing
erreichbar sein;to be reachable/available
(A) Rund ums Internet;All about the Internet
das Online-Spiel, -e;the online game, online games
die Nachrichten, Pl;the news (plural)
die E-Mail, -s;the email, emails
E-Mails checken;to check emails
denken;to think
häufig;frequent/frequently
die Information, -en;the information, pieces of information
im Internet recherchieren;to research on the internet
mobiles Internet;mobile internet
möglich;possible
unkompliziert;uncomplicated
warum;why
weil;because
(B) Mit dem Computer arbeiten;Working with the computer
der Internetzugang, -e;the internet access, internet accesses
die Software, Sg;the software (singular)
die App, -S;the app, apps
soziale Netzwerke;social networks
die Datei, -en;the file, files
das E-Mail-Programm, -e;the email program, email programs
speichern;to save/store
löschen;to delete/erase
öffnen;to open
schließen;to close
beenden;to end/quit
drucken;to print
senden;to send
abschicken;to send off/submit
der Anhang,;the attachment,
anhängen;to attach
die Hilfe, -n;the help/assistance, helps
die Option, -en;the option, options
das Adressbuch, -er;the address book, address books
der Posteingang, -e;the inbox, inboxes
auswählen;to select/choose
nützlich;useful/helpful
(C) Fernsehen und Radio;Television and radio
das Fernsehen, Sg.;the television (singular)
die Sendung, -en;the program/broadcast, programs
laufen: das Radio läuft;to run/play: the radio is playing
der Spielfilm, -e;the feature film, feature films
das Quiz, Sg,;the quiz (singular)
der Dokumentarfilm, -e;the documentary, documentaries
die Serie, -n;the series, series
die Talkshow, -s;the talk show, talk shows
international;international
der Krimi, -s;the crime novel/detective story, detective stories
die Werbung, -en;the advertisement/commercial, advertisements
die Internetseite, -n;the website, websites
die Verkehrsmeldung, -en;the traffic report, traffic reports
der Wetterbericht, -e;the weather report, weather reports
der Durchschnitt, Sg.;the average (singular)
dafür;for it/in favor
dagegen;against it/on the other hand
dass;that (conjunction)
leise;quiet/soft
