German;English
Was?;What?
Kinder/Patienten/Senioren pflegen/betreuen;to care for/look after children/patients/seniors
bei Geburten helfen;to help with births
schwangere Frauen beraten;to advise pregnant women
bei Behandlungen/Operationen assistieren;to assist with treatments/operations
Patienten Medikamente bringen;to bring patients medication
Betten machen;to make beds
Blut abnehmen;to take blood
Blutdruck messen;to measure blood pressure
den Arzt / die Ärztin unterstützen;to support the doctor (male/female)
