German;English
Paar, das, -e;couple / pair / few
Papagei, der, -en;parrot
Parlament, das, -e;parliament
Partei, die, -en;political party
parteilos;independent (no party affiliation)
Partnerschaft, die, -en;partnership / relationship / companionship
Passagier/in, der/die, -e/-nen;passenger
Passagier-Flugverkehr, der, Sg.;passenger air traffic
Passagierflugzeug, das, -e;passenger airplane
Patchworkfamilie, die, -n;patchwork family
Pauschalreise, die, -n;package holiday / package tour
PC-Kenntnisse, Pl.;computer skills / PC knowledge
PDF-Anhang, der, “-e;PDF attachment
PDF-Format, das, Sg.;PDF format
Personalabteilung, die, -en;human resources department
Personenschaden, der, “-;personal injury / bodily harm
persönlich;personal / in person
pessimistisch;pessimistic
Pferd, das, -e;horse
Pflanze, die, -n;plant
Pflanzenart, die, -en;plant species
Pflege, die, Sg.;care / nursing / maintenance
Pflegeversicherung, die, -en;long-term care insurance
Pflicht, die, -en;duty / obligation
Physiotherapie, die, -n;physical therapy
Pieks, der, -e;prick / jab / sting
Pkw, der, -s;car / passenger vehicle
Plan, der, “-e;plan
Planung, die, -en;planning
Plastikbecher, der, -;plastic cup
Plastiktüte, die, -n;plastic bag
Politiker/in, der/die, -/-nen;politician
politisch;political
Polizei, die, Sg.;police
Position, die, -en;position
positiv;positive
Posten, der, -;item / position / job
posten;to post
Präsident/in, der/die, -en/-nen;president
Preisverhandlung, die, -en;price negotiation
Preisverleihung, die, -en;award ceremony
pro;per / for / in favor of
Produkt, das, -e;product
Produktion, die, -en;production
Produktionsmitarbeiter/in, der/die, -/-nen;production worker
produzieren;to produce
profitieren;to profit / to benefit
Prognose, die, -n;forecast / prediction
Promi-Lexikon, das, -Lexika;celebrity encyclopedia
psychisch;psychological / mental
Psychotherapeut/in, der/die, -en/-nen;psychotherapist
Psychotherapie, die, -n;psychotherapy
Puls, der, Sg.;pulse
