German;English
da sein;to be there, to be present
dabei sein;to be present, to participate
dafür sein;to be in favor of, to support
dagegen sein;to be against, to oppose
damit;with it, so that, therefore
dass;that (conjunction)
Datei, die, -en;file (digital)
Dauer, die, Sg.;duration, length
Dauerauftrag, der, -e;standing order, automatic payment
dauern;to last, to take (time)
dazwischen;in between, among them
Decke, die, -n;blanket; ceiling
denken;to think
depressiv;depressed
Desinfektionsmittel, das, -;disinfectant
Deutschkenntnisse, die, Pl.;German language skills
dick;fat, thick
dick (hier: durch dick und dünn gehen);thick (here: through thick and thin)
Digitalkamera, die, -s;digital camera
Ding, das, -e;thing
Diplom, das, -e;diploma
Direktor/in, der/die, -en/-nen;director, principal
Disco, die, -s;disco, nightclub
diskutieren;to discuss
doch;however, yes (as contradiction), after all
Dokumentarfilm, der, -e;documentary film
Doppelstunde, die, -n;double lesson (e.g., two teaching periods)
dorthin;to there, thither
dreimal;three times
drüben;over there
drucken;to print
drücken;to press
Drucker, der, -;printer
Dübel, der, -;wall plug, dowel
dünn (hier: durch dick und dünn gehen);thin (here: through thick and thin)
durcheinander;in disarray, mixed up
Durchfall, der, Sg.;diarrhea
Durchschnitt, der, Sg.;average
Durchwahl, die, -en;direct line, extension number
duzen;to address informally (use "du")
DVD, die, -s;DVD
