English;German
fat;das Fett, -e
favorite subject;das Lieblingsfach, -er
fee, charge;die Gebühr, -en
final examination;die Abschlussprüfung, -en
finally/at last;endlich
fine sand;feiner Sand
fine, penalty;die Strafe, -n
fireworks;das Feuerwerk, -e
fitness center;das Fitnesscenter, -
fitted kitchen;die Einbauküche, -n
flexible;flexibel
flight;der Flug, -¨e
flight ticket;das Flugticket, -s
floor, ground;der Boden, -
flowers bloom;Blumen blühen
folder, binder;der Ordner, -
football (soccer) club;der Fußballverein, -e
for it/in favor;dafür
foreign language;die Fremdsprache, -n
fork;die Gabel, -n
free of charge;kostenlos
frequent/frequently;häufig
friendly;freundlich
friendship;die Freundschaft, -en
friendship society;der Freundschaftsverein, -e
funny/amusing;lustig
further education, continuing education;die Weiterbildung, -en
further training, professional development;die Fortbildung, -en
