German;English
Baby, das, -s;baby
Babypause, die, -n;parental leave (for baby)
Babysitter, der, -;babysitter
baden;to bathe, to swim
Badesachen, Pl.;swimwear, bathing things
Bahnsteig, der, -e;platform (at a station)
Bankberater/in, der/die, -/-nen;bank advisor
bargeldlos;cashless
Basilikum-Pesto, das, Sg.;basil pesto
Batterie, die, -n;battery
Bauamt, das, -¨er;building authority, building department
Bauchtanz, der, -¨e;belly dance
Baumarkt, der, -¨e;hardware store, DIY store
beachten;to note, to pay attention to
Bedingung die, -en;condition, requirement
beenden;to end, to finish
befestigen;to fasten, to attach
befreundet;befreundet sein: to be friends
befriedigend;satisfactory
Begegnung die, -en;encounter, meeting
Begleiter/in, der/die, -/-nen;companion, attendant
behalten;to keep, to retain
Behinderung die, -en;disability
Behördendeutsch, das, Sg.;official German, bureaucratic German
Beipackzettel, der, -;package leaflet, information leaflet
Bekannte, der/die, -n;acquaintance
Bekanntenkreis, der, -e;circle of acquaintances
belastbar;resilient, able to handle stress
belegt;occupied, taken, busy (line)
Beratung die, -en;consultation, advice, counseling
berechnen;to calculate, to charge
Bereich, der, -e;area, field, sector
Bericht, der, -e;report
berichten;to report
beruflich;professional, vocational
Berufsabschluss, der, -¨e;vocational qualification
Berufsanfänger/in, der/die, -/-nen;job starter, career beginner
Berufschance, die, -n;career opportunity
Berufserfahrung, die, -en;work experience, professional experience
Berufsschule, die, -n;vocational school
Bescheid sagen;to inform, to let know
Beschwerde, die, -n;complaint, ailment
besetzt;occupied, taken, busy
besonderer, -e, -es;special, particular
besorgen;to get, to obtain, to take care of
besprechen;to discuss
Besprechung, die, -en;meeting, discussion
bestehen;to exist; to pass (an exam)
Betreff, der, -s;subject (e.g., email)
Betreuung die, Sg.;care, supervision
Betriebsrat, der, -¨e;works council
Betriebsversammlung, die, -en;company meeting, staff assembly
bewegen (sich);to move, to exercise
Bewegung die, -en;movement, exercise
bewerben (sich) (um/auf);to apply (for)
Bewerbung die, -en;application
Bewerbungsfoto, das, -s;application photo
Bewerbungsgespräch, das, -e;job interview
Bewerbungsschreiben, das, -;cover letter, letter of application
Bewerbungsunterlagen, Pl.;application documents
Bewohner/in, der/die, -/-nen;resident, inhabitant
Bezahlung die, Sg.;pay, payment
bieten;to offer
Bildung;education
Biologie (hier: Schulfach);biology (here: school subject)
bitten;to ask, to request
blühen;to bloom, to blossom
Blumenstrauß, der, -¨e;bouquet of flowers
Blut, das, Sg.;blood
Blutdruck, der, Sg.;blood pressure
Blutwert, der, -e;blood value, blood test result
Boden, der, -¨;floor, ground
bohren;to drill
Brandsalbe, die, -n;burn ointment
Braut, die, -¨e;bride
Bräutigam, der, -e;groom
Brautkleid, das, -er;wedding dress
Brautpaar, das, -e;bridal couple
Breite, die, -n;width; latitude
Brieftasche, die, -n;wallet, purse
Broschüre, die, -n;brochure, booklet
buchen;to book
Buchhaltung, die, -en;accounting, accounts department
Buchung, die, -en;booking
bügeln;to iron
Burg, die, -en;castle, fortress
Bürger/in, der/die, -/-nen;citizen
Büroschlüssel, der, -;office key
Busfahrer/in, der/die, -/-nen;bus driver
