English;German
main course;die Hauptspeise, -n
main focus, emphasis;der Schwerpunkt, -e
to manage/achieve/create;schaffen
manual, craft-related, artisanal;handwerklich
market manager, store manager;der/die Marktleiter/in, -/-nen
mathematics (math);die Mathematik (Mathe),sg.
to measure blood pressure;den Blutdruck messen
the medium/media, media;das Medium, Medien
meeting, discussion;die Besprechung, -en
member;das Mitglied, -er
membership fee;der Mitgliedsbeitrag, -¨e
memory;die Erinnerung, -en
menu;die Speisekarte, -n
message, news;die Nachricht, -en
message, notice;die Mitteilung, -en
to miss (a person or thing);vermissen
the mistake/error, errors;der Fehler, -
MM = monthly rent;MM = die Monatsmiete, -n
mobile internet;mobiles Internet
money transfer;die Überweisung, -en
monthly ticket (for transport);die Monatskarte, -n
mood, atmosphere;die Stimmung, Sg.
most (plural);die meisten
to motivate;motivieren
motor vehicle insurance;die Kfz-Versicherung, -en
to move out;ausziehen
to move, to exercise;sich bewegen
municipal utilities;die Stadtwerke, Pl.
museum;das Museum, Museen
mutual, reciprocal;gegenseitig
