English;German
to be reachable/available;erreichbar sein
to be responsible for;zuständig sein
rain gear, wet-weather clothes;die Regensachen, Pl.
rate, tariff;der Tarif, -e
the reason/ground, reasons;der Grund, -e
receipt;die Quittung, -en
to recognize, to acknowledge;anerkennen
to recommend;empfehlen
recruitment consultant, personnel consultant;der/die Personalberater/in, -/-nen
the refugee shelter/home, shelters;das Flüchtlingsheim, -e
to register, to enroll (for);sich anmelden (für)
to relax;sich entspannen
relaxation;die Entspannung, Sg.
relaxing;entspannend
reliable;zuverlässig
to rely on, to depend on;sich verlassen auf
to remember;sich erinnern
to renovate, to refurbish;renovieren
renovation;die Renovierung, -en
to rent out, to let;vermieten
repair;die Reparatur, -en
to repair;reparieren
to repeat after/echo;nachsprechen
report;der Bericht, -e
to report;berichten
report card, certificate;das Zeugnis, -se
to research on the internet;im Internet recherchieren
to reserve;reservieren
resident, inhabitant;der/die Bewohner/in, -/-nen
resilient, able to handle stress;belastbar
restaurant, pub, local establishment;das Lokal, -e
result;das Ergebnis, -se
to retain/remember new words;neue Wörter behalten
retiree, pensioner;der/die Rentner/in, -/-nen
return flight;der Rückflug, -¨e
romantic;romantisch
room;der Raum, -e
rose;die Rose, -n
to run (quickly);rennen
to run/play: the radio is playing;laufen: das Radio läuft
