 German;English
  aber ;(no direct translation)  Modal Particle  Expresses surprise, emphasis, or strong feeling 
 Das ist aber teuer!  ;  That is expensive! (I'm surprised) 
 auch ; also / too / even  Focus Particle  Adds something to an existing reference; expresses inclusion or emphasis 
 Ich habe auch Hunger.  ;  I am hungry too. 
 bloß / nur;  on earth / just (with concern)  Modal Particle  Expresses worry, curiosity, or emphasis in questions/exclamations 
 Was ist bloß passiert?  ;  What on earth happened? 
 denn ; (no direct translation)  Modal Particle  Softens a question; makes it sound curious, polite, or interested 
 Was ist denn los?  ;  What's going on? (I wonder / tell me) 
 doch  ;(no direct translation)  Modal Particle  Contradicts a negative expectation; reminds; softens a command 
 Komm doch mit! ;   Come along! (why not? / I suggest it) 
 eben / halt ; just / simply (with resignation)  Modal Particle  Accepts an unchangeable fact; expresses resignation or inevitability 
 Dann müssen wir eben laufen. ;   Then we'll just have to walk (we can't change it). 
 gerade ; just / exactly / of all people  Focus Particle  Highlights a specific person or thing as particularly relevant 
 Gerade du solltest pünktlich sein.  ;  You of all people should be on time. 
 ja ; (no direct translation)  Modal Particle  Indicates shared knowledge; assumes the listener agrees or already knows 
 Das ist ja wunderbar!  ;  That is wonderful! (and you agree with me) 
 mal ; (no direct translation)  Modal Particle  Softens commands or requests; makes them casual or temporary 
 Komm mal her.  ;  Come here (for a moment / casually). 
 nur ; only / just  Focus Particle  Limits or restricts the statement to one element 
 Ich habe nur einen Euro.  ;  I have only one euro. 
 schon ; certainly / indeed / (softens or strengthens)  Modal Particle  Adds confidence, limitation, or mild contradiction 
 Das wird schon gut gehen.  ;  It'll be fine (I'm confident). 
 selbst;  even (emphatic)  Focus Particle  Emphasizes an extreme or surprising case 
 Selbst im Sommer regnet es hier. ;   Even in summer it rains here. 
 sogar;  even  Focus Particle  Expresses surprise or unexpected inclusion 
 Sogar mein Opa hat ein Smartphone.;   Even my grandpa has a smartphone. 
 vielleicht ; (no direct translation in this use)  Modal Particle  Used in exclamations to express intensity (not "maybe") 
 Das ist vielleicht ein Auto! ;   That's quite a car! (Wow!) 
