German;English
Ich möchte einen Tisch reservieren;I would like to reserve a table
Möchten Sie bestellen?;Would you like to order?
Die Rechnung, bitte.;The bill, please.
Wann möchten Sie kommen?;When would you like to come?
Wie viele Personen?;How many people?
Ich nehme ...;I'll take ...
Ich hätte gern ...;I would like ...
Getrennt oder zusammen?;Separately or together?
Am ... um ... Uhr.;On ... at ... o'clock.
Was möchten Sie trinken?;What would you like to drink?
Getrennt. Ich hatte ...;Separately. I had ...
Zusammen, bitte.;Together, please.
Ja, das geht. Bis später.;Yes, that works. See you later.
Das macht dann ...;That comes to ...
Eine/n ..., bitte;A/an ..., please
Danke, stimmt so.;Thanks, keep the change.

