German;English
Radio;radio
Radiowecker;radio alarm clock
Radtour;bike tour
Rathaus;town hall
rechts;right/on the right
reden;to talk/speak
Regal;shelf
Regel;rule
regelmäßig;regular
Regen;rain
Reihenhouse;terraced house/row house
Reinigungskraft;cleaning staff
reinikommen;(likely typo) to come in (reinkommen)
Reis;rice
Reise;trip/journey
Reiseangebot;travel offer
Reisebüro;travel agency
reisen;to travel
reparieren;to repair
Reservierung;reservation
Rest;rest/remainder
Restaurant;restaurant
Rezept;recipe/prescription
richtig;correct/right
Richtung;direction
riechen ;to smell
Ring;ring
Reck;(likely typo) horizontal bar/gymnastics bar
Rolltreppe;escalator
rosa;pink
Rücken;back (body)
Rückenschmerzen;back pain
Rückfrage;follow-up question
ruhig;quiet/calm
rund ;round/approximately
Rutsche;slide
