German;English
das Skigebiet;the ski area
die Autowerkstatt;the car repair shop, garage
das Ärztehaus;the doctors' building, medical center
das Arbeitszimmer;the study, home office
der Tanzkurs;the dance class, dance course
das Adressbuch;the address book
die Arbeitskollegin;the work colleague (female)
An dem Ort arbeiten viele Ärzte.;Many doctors work at that place.
Mit dieser Person arbeitet man zusammen.;One works together with this person.
In dem Zimmer arbeitet man.;One works in that room.
In dem Gebiet kann man Ski fahren.;One can ski in that area.
In dem Kurs lernt man tanzen.;One learns to dance in that course.
An dem Ort lässt man sein Auto reparieren.;One has their car repaired at that place.
In dem Buch stehen viele Adressen.;There are many addresses in that book.


